ID	DOCULECT	FAMILY	CONCEPT_NAME	CONCEPT	VALUE	FORM	TOKENS	BORROWED	BORROWED_SCORE	DONOR_LANGUAGE	DONOR_VALUE	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	SCALLID_0	SCA_0	SCA_0ID
1405	Portuguese	Indo-European	greedy	GREEDY	cobiçoso	cobiçoso	k o b i s ɔ z u					1 7 1 7 3 7 3 7	AXBYBYBZ	KUPISUSY	4	4.K.C 4.U.V 4.P.C 4.I.V 4.S.C 4.U.V 4.S.C 4.Y.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	kobisɔzu	0	0	4934-Indo-European	6675
1406	Portuguese	Indo-European	greedy	GREEDY	ávido	ávido	a v i d u					7 3 7 1 7	XBYBZ	ABITY	4	4.A.V 4.B.C 4.I.V 4.T.C 4.Y.V	1.5 1.75 1.3 1.75 0.8	avidu	0	0	4940-Indo-European	6681
3153	Spanish	Indo-European	greedy	GREEDY	codicioso	codicioso	k o ð i s j o s o					1 7 3 7 3 6 7 3 7	AXBYBCYBZ	KUDISJUSU	6	6.K.C 6.U.V 6.D.C 6.I.V 6.S.C 6.J.C 6.U.V 6.S.C 6.U.V	2.0 1.5 1.75 1.3 1.75 1.5 1.3 1.75 0.8	koðisjoso	0	0	4934-Indo-European	6675
3154	Spanish	Indo-European	greedy	GREEDY	voraz	voraz	b o ɾ a s					1 7 5 7 3	AXBYN	PURAS	6	6.P.C 6.U.V 6.R.C 6.A.V 6.S.c	2.0 1.5 1.75 1.3 0.8	boɾas	0	0	4941-Indo-European	6682
4662	Yaqui	Uto-Aztecan	greedy	GREEDY	jantiachi	jantiachi	j a n t i a tʃ i	False	0.0			6 7 4 1 7 7 1 7	AXMBYYBZ	JANTIATI	8	8.J.C 8.A.V 8.N.c 8.T.C 8.I.V 8.A.V 8.T.C 8.I.V	2.0 1.5 1.1 1.75 1.3 1.3 1.75 0.8	jantiatʃi	0	0	4937-Uto-Aztecan	6677
5971	ZinacantanTzotzil	Mayan	greedy	GREEDY	pas hamparoal	pas_hamparoal	pʰ a s + h a m p a ɾ o a l	False	0.0	Spanish	jambado	1 7 3 9 3 7 4 1 7 5 7 7 5	AXN_AXMBYBYYN	PAS_HAMPARUAL	9	9.P.C 9.A.V 9.S.c 9._._ 9.H.C 9.A.V 9.M.c 9.P.C 9.A.V 9.R.C 9.U.V 9.A.V 9.L.c	2.0 1.5 0.8 0.0 2.0 1.5 1.1 1.75 1.3 1.75 1.3 1.3 0.8	pʰas+hampaɾoal	0	0	4938-Mayan	6678
7661	Qeqchi	Mayan	greedy	GREEDY	aj atawanel	aj_atawanel	a x + a t a w a n e l	False	0.0			7 3 9 7 1 7 6 7 4 7 5	XN_XBYBYBYN	AG_ATAWANEL	5	5.A.V 5.G.c 5._._ 5.A.V 5.T.C 5.A.V 5.W.C 5.A.V 5.N.C 5.E.V 5.L.c	1.5 0.8 0.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 0.8	ax+atawanel	0	0	4935-Mayan	6676
9730	Otomi	Otomanguean	greedy	GREEDY	zuda	zuda	z u d a	False	0.0			3 7 1 7	AXBZ	SYTA	3	3.S.C 3.Y.V 3.T.C 3.A.V	2.0 1.5 1.75 0.8	zuda	0	0	4933-Otomanguean	6674
9731	Otomi	Otomanguean	greedy	GREEDY	ñuni xingu	ñuni_xingu	ɲ u n i + x i n g u	False	0.0			4 7 4 7 9 3 7 4 1 7	AXBZ_AXMBZ	NYNI_GINKY	3	3.N.C 3.Y.V 3.N.C 3.I.V 3._._ 3.G.C 3.I.V 3.N.c 3.K.C 3.Y.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.1 1.75 0.8	ɲuni+xingu	0	0	4939-Otomanguean	6679
1316	Portuguese	Indo-European	green	GREEN	verde	verde	v ɛ ʁ dʒ i					3 7 5 1 7	AXMBZ	BERTI	4	4.B.C 4.E.V 4.R.c 4.T.C 4.I.V	2.0 1.5 1.1 1.75 0.8	vɛʁdʒi	0	4942	4942-Indo-European	6683
3056	Spanish	Indo-European	green	GREEN	verde	verde	b ɛ ɾ ð e					1 7 5 3 7	AXMBZ	PERDE	6	6.P.C 6.E.V 6.R.c 6.D.C 6.E.V	2.0 1.5 1.1 1.75 0.8	bɛɾðe	0	4942	4942-Indo-European	6683
4594	Yaqui	Uto-Aztecan	green	GREEN	siali	siali	s i a l i	False	0.0			3 7 7 5 7	AXYBZ	SIALI	8	8.S.C 8.I.V 8.A.V 8.L.C 8.I.V	2.0 1.5 1.3 1.75 0.8	siali	0	0	4949-Uto-Aztecan	6689
5910	ZinacantanTzotzil	Mayan	green	GREEN	yosh	yosh	j o sʰ	False	0.0			6 7 3	AXN	JUS	9	9.J.C 9.U.V 9.S.c	2.0 1.5 0.8	josʰ	1	0	4950-Mayan	6692
7552	Qeqchi	Mayan	green	GREEN	rax	rax	r a ʃ	False	0.0			5 7 3	AXN	RAS	5	5.R.C 5.A.V 5.S.c	2.0 1.5 0.8	raʃ	0	0	4946-Mayan	6687
9616	Otomi	Otomanguean	green	GREEN	k’ants’i	k’ants’i	k ʔ a n tsʼ i	False	0.0			1 1 7 4 1 7	ACYMBZ	KHANTI	3	3.K.C 3.H.C 3.A.V 3.N.c 3.T.C 3.I.V	2.0 1.5 1.3 1.1 1.75 0.8	kʔantsʼi	0	0	4944-Otomanguean	6686
9617	Otomi	Otomanguean	green	GREEN	xi nk’ants’i	xi_nk’ants’i	x i + n k ʔ a n tsʼ i	False	0.0			3 7 9 4 1 1 7 4 1 7	AX_AMBYMBZ	GI_NKHANTI	3	3.G.C 3.I.V 3._._ 3.N.C 3.K.c 3.H.C 3.A.V 3.N.c 3.T.C 3.I.V	2.0 1.5 0.0 2.0 1.1 1.75 1.3 1.1 1.75 0.8	xi+nkʔantsʼi	0	0	4951-Otomanguean	6693
9618	Otomi	Otomanguean	green	GREEN	k’a’mi	k’a’mi	k ʔ a ʔ m i	False	0.0			1 1 7 1 4 7	ACYBCZ	KHAHMI	3	3.K.C 3.H.C 3.A.V 3.H.C 3.M.C 3.I.V	2.0 1.5 1.3 1.75 1.5 0.8	kʔaʔmi	0	0	4944-Otomanguean	6686
9619	Otomi	Otomanguean	green	GREEN	xi nk’a’mi	xi_nk’a’mi	x i + n k ʔ a ʔ m i	False	0.0			3 7 9 4 1 1 7 1 4 7	AX_AMBYBCZ	GI_NKHAHMI	3	3.G.C 3.I.V 3._._ 3.N.C 3.K.c 3.H.C 3.A.V 3.H.C 3.M.C 3.I.V	2.0 1.5 0.0 2.0 1.1 1.75 1.3 1.75 1.5 0.8	xi+nkʔaʔmi	0	0	4951-Otomanguean	6693
11075	ImbaburaQuechua	Quechuan	green	GREEN	birdi	birdi	b i ɾ d i	True	1.0	Spanish	verde	1 7 5 1 7	AXMBZ	PIRTI	1	1.P.C 1.I.V 1.R.c 1.T.C 1.I.V	2.0 1.5 1.1 1.75 0.8	biɾdi	0	4942	4942-Quechuan	6684
12289	Wichi	Matacoan	green	GREEN	w’atshan	w’atshan	w ʔ a tsʰ a n	False	0.0			6 1 7 2 7 4	ACYBYN	WHACAN	7	7.W.C 7.H.C 7.A.V 7.C.C 7.A.V 7.N.c	2.0 1.5 1.3 1.75 1.3 0.8	wʔatsʰan	1	0	4948-Matacoan	6688
13560	Mapudungun	Araucanian	green	GREEN	karü	karü	k a ɻ ɨ	False	0.0			1 7 5 7	AXBZ	KARI	2	2.K.C 2.A.V 2.R.C 2.I.V	2.0 1.5 1.75 0.8	kaɻɨ	0	0	4943-Araucanian	6685
1362	Portuguese	Indo-European	grief	GRIEF	tristeza	tristeza	t ɾ i ʃ t ɛ z ɐ					1 5 7 3 1 7 3 7	ACXMBYBZ	TRISTESE	4	4.T.C 4.R.C 4.I.V 4.S.c 4.T.C 4.E.V 4.S.C 4.E.V	2.0 1.5 1.5 1.1 1.75 1.3 1.75 0.8	tɾiʃtɛzɐ	0	0	4955-Indo-European	6697
1363	Portuguese	Indo-European	grief	GRIEF	dor	dor	d o ʁ					1 7 5	AXN	TUR	4	4.T.C 4.U.V 4.R.c	2.0 1.5 0.8	doʁ	0	0	4962-Indo-European	6705
3100	Spanish	Indo-European	grief	GRIEF	tristeza	tristeza	t ɾ i s t e s a					1 5 7 3 1 7 3 7	ACXMBYBZ	TRISTESA	6	6.T.C 6.R.C 6.I.V 6.S.c 6.T.C 6.E.V 6.S.C 6.A.V	2.0 1.5 1.5 1.1 1.75 1.3 1.75 0.8	tɾistesa	0	0	4955-Indo-European	6697
3101	Spanish	Indo-European	grief	GRIEF	dolor	dolor	d o l o ɾ					1 7 5 7 5	AXBYN	TULUR	6	6.T.C 6.U.V 6.L.C 6.U.V 6.R.c	2.0 1.5 1.75 1.3 0.8	doloɾ	0	0	4962-Indo-European	6705
3102	Spanish	Indo-European	grief	GRIEF	pena	pena	p e n a					1 7 4 7	AXBZ	PENA	6	6.P.C 6.E.V 6.N.C 6.A.V	2.0 1.5 1.75 0.8	pena	0	4961	4961-Indo-European	6703
4626	Yaqui	Uto-Aztecan	grief	GRIEF	ko’okole	ko’okole	k o ʔ o k o l e	False	0.0			1 7 1 7 1 7 5 7	AXBYBYBZ	KUHUKULE	8	8.K.C 8.U.V 8.H.C 8.U.V 8.K.C 8.U.V 8.L.C 8.E.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	koʔokole	0	0	4959-Uto-Aztecan	6700
5942	ZinacantanTzotzil	Mayan	grief	GRIEF	me7anal	me7anal	m e ʔ a n a l	False	0.0			4 7 1 7 4 7 5	AXBYBYN	MEHANAL	9	9.M.C 9.E.V 9.H.C 9.A.V 9.N.C 9.A.V 9.L.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	meʔanal	0	0	4960-Mayan	6702
7611	Qeqchi	Mayan	grief	GRIEF	rahil ch'oolej	rahil_ch'oolej	r a h i l + tʃʼ oː l e x	False	0.0			5 7 3 7 5 9 1 7 5 7 3	AXBYN_AXBYN	RAHIL_TULEG	5	5.R.C 5.A.V 5.H.C 5.I.V 5.L.c 5._._ 5.T.C 5.U.V 5.L.C 5.E.V 5.G.c	2.0 1.5 1.75 1.3 0.8 0.0 2.0 1.5 1.75 1.3 0.8	rahil+tʃʼoːlex	0	0	4956-Mayan	6698
9671	Otomi	Otomanguean	grief	GRIEF	dumu̲i	dumu̲i	d u m u i	False	0.0			1 7 4 7 7	AXBYZ	TYMYI	3	3.T.C 3.Y.V 3.M.C 3.Y.V 3.I.V	2.0 1.5 1.75 1.3 0.8	dumui	1	0	4954-Otomanguean	6696
9672	Otomi	Otomanguean	grief	GRIEF	penä	penä	p e n ɐ	True	1.0	Spanish	pena	1 7 4 7	AXBZ	PENE	3	3.P.C 3.E.V 3.N.C 3.E.V	2.0 1.5 1.75 0.8	penɐ	0	4961	4961-Otomanguean	6704
11107	ImbaburaQuechua	Quechuan	grief	GRIEF	llaki	llaki	ʒ a k i	False	0.0			3 7 1 7	AXBZ	SAKI	1	1.S.C 1.A.V 1.K.C 1.I.V	2.0 1.5 1.75 0.8	ʒaki	1	0	4952-Quechuan	6694
12322	Wichi	Matacoan	grief	GRIEF	nitichunlhi	nitichunlhi	n i t i tʃ u n lˠ i	False	0.0			4 7 1 7 1 7 4 5 7	AXBYBYBCZ	NITITYNLI	7	7.N.C 7.I.V 7.T.C 7.I.V 7.T.C 7.Y.V 7.N.C 7.L.C 7.I.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.5 0.8	nititʃunlˠi	1	0	4958-Matacoan	6699
13592	Mapudungun	Araucanian	grief	GRIEF	llazken	llazken	ʎ a z k e n	False	0.0			5 7 3 1 7 4	AXMBYN	LASKEN	2	2.L.C 2.A.V 2.S.c 2.K.C 2.E.V 2.N.c	2.0 1.5 1.1 1.75 1.3 0.8	ʎazken	0	0	4953-Araucanian	6695
562	Portuguese	Indo-European	grind	GRIND	esmagar	esmagar	i ʒ m a ɡ a ʁ					7 3 4 7 1 7 5	XBCYBYN	ISMAKAR	4	4.I.V 4.S.C 4.M.C 4.A.V 4.K.C 4.A.V 4.R.c	1.5 1.75 1.5 1.3 1.75 1.3 0.8	iʒmaɡaʁ	0	0	4966-Indo-European	6709
563	Portuguese	Indo-European	grind	GRIND	moer	moer	m o e ʁ					4 7 7 5	AXYN	MUER	4	4.M.C 4.U.V 4.E.V 4.R.c	2.0 1.5 1.3 0.8	moeʁ	0	0	4972-Indo-European	6715
2258	Spanish	Indo-European	grind	GRIND	aplastar	aplastar	a p l a s t a ɾ					7 1 5 7 3 1 7 5	XBCYMBYN	APLASTAR	6	6.A.V 6.P.C 6.L.C 6.A.V 6.S.c 6.T.C 6.A.V 6.R.c	1.5 1.75 1.5 1.3 1.1 1.75 1.3 0.8	aplastaɾ	0	0	4968-Indo-European	6711
2259	Spanish	Indo-European	grind	GRIND	moler	moler	m o l ɛ ɾ					4 7 5 7 5	AXBYN	MULER	6	6.M.C 6.U.V 6.L.C 6.E.V 6.R.c	2.0 1.5 1.75 1.3 0.8	molɛɾ	0	0	4972-Indo-European	6715
3938	Yaqui	Uto-Aztecan	grind	GRIND	tuuse	tuuse	t uː s e	False	0.0			1 7 3 7	AXBZ	TYSE	8	8.T.C 8.Y.V 8.S.C 8.E.V	2.0 1.5 1.75 0.8	tuːse	0	0	4970-Uto-Aztecan	6713
5358	ZinacantanTzotzil	Mayan	grind	GRIND	huch’un	huch’un	h u tʃʼ u n	False	0.0			3 7 1 7 4	AXBYN	HYTYN	9	9.H.C 9.Y.V 9.T.C 9.Y.V 9.N.c	2.0 1.5 1.75 1.3 0.8	hutʃʼun	0	0	4971-Mayan	6714
5359	ZinacantanTzotzil	Mayan	grind	GRIND	net’	net’	n e tʼ	False	0.0			4 7 1	AXN	NET	9	9.N.C 9.E.V 9.T.c	2.0 1.5 0.8	netʼ	0	0	4975-Mayan	6717
5360	ZinacantanTzotzil	Mayan	grind	GRIND	petz’k’un	petz’k’un	pʰ e tsʼ kʼ u n	False	0.0			1 7 1 1 7 4	AXMBYN	PETKYN	9	9.P.C 9.E.V 9.T.c 9.K.C 9.Y.V 9.N.c	2.0 1.5 1.1 1.75 1.3 0.8	pʰetsʼkʼun	0	0	4977-Mayan	6718
6723	Qeqchi	Mayan	grind	GRIND	tenok	tenok	t e n o kʰ	False	0.75	Ch’olan	*ten	1 7 4 7 1	AXBYN	TENUK	5	5.T.C 5.E.V 5.N.C 5.U.V 5.K.c	2.0 1.5 1.75 1.3 0.8	tenokʰ	0	0	4967-Mayan	6710
6724	Qeqchi	Mayan	grind	GRIND	yab'ok	yab'ok	j a ɓ o kʰ	False	0.0			6 7 1 7 1	AXBYN	JAPUK	5	5.J.C 5.A.V 5.P.C 5.U.V 5.K.c	2.0 1.5 1.75 1.3 0.8	jaɓokʰ	0	0	4973-Mayan	6716
6725	Qeqchi	Mayan	grind	GRIND	sob'ok	sob'ok	s o ɓ o kʰ	False	0.0			3 7 1 7 1	AXBYN	SUPUK	5	5.S.C 5.U.V 5.P.C 5.U.V 5.K.c	2.0 1.5 1.75 1.3 0.8	soɓokʰ	0	0	4973-Mayan	6716
8584	Otomi	Otomanguean	grind	GRIND	ku̲ni	ku̲ni	k u n i	False	0.0			1 7 4 7	AXBZ	KYNI	3	3.K.C 3.Y.V 3.N.C 3.I.V	2.0 1.5 1.75 0.8	kuni	0	0	4965-Otomanguean	6708
10561	ImbaburaQuechua	Quechuan	grind	GRIND	kutana (1)	kutana	k u t a n a	False	0.0			1 7 1 7 4 7	AXBYBZ	KYTANA	1	1.K.C 1.Y.V 1.T.C 1.A.V 1.N.C 1.A.V	2.0 1.5 1.75 1.3 1.75 0.8	kutana	0	0	4963-Quechuan	6706
11746	Wichi	Matacoan	grind	GRIND	ichufwaj	ichufwaj	i tʃ u fʷ a x	False	0.0			7 1 7 3 7 3	XBYBYN	ITYBAG	7	7.I.V 7.T.C 7.Y.V 7.B.C 7.A.V 7.G.c	1.5 1.75 1.3 1.75 1.3 0.8	itʃufʷax	0	0	4969-Matacoan	6712
13028	Mapudungun	Araucanian	grind	GRIND	rüngümün	rüngümün	ɻ ɨ ŋ ɨ m ɨ n	False	0.0			5 7 4 7 4 7 4	AXBYBYN	RINIMIN	2	2.R.C 2.I.V 2.N.C 2.I.V 2.M.C 2.I.V 2.N.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	ɻɨŋɨmɨn	0	0	4964-Araucanian	6707
1371	Portuguese	Indo-European	groan	GROAN	gemer	gemer	ʒ e m e ʁ					3 7 4 7 5	AXBYN	SEMER	4	4.S.C 4.E.V 4.M.C 4.E.V 4.R.c	2.0 1.5 1.75 1.3 0.8	ʒemeʁ	0	0	4981-Indo-European	6723
3112	Spanish	Indo-European	groan	GROAN	gemir	gemir	x e m i ɾ					3 7 4 7 5	AXBYN	GEMIR	6	6.G.C 6.E.V 6.M.C 6.I.V 6.R.c	2.0 1.5 1.75 1.3 0.8	xemiɾ	0	0	4981-Indo-European	6723
4633	Yaqui	Uto-Aztecan	groan	GROAN	bwaana	bwaana	bʷ aː n a	False	0.0			1 7 4 7	AXBZ	PANA	8	8.P.C 8.A.V 8.N.C 8.A.V	2.0 1.5 1.75 0.8	bʷaːna	1	0	4985-Uto-Aztecan	6726
5946	ZinacantanTzotzil	Mayan	groan	GROAN	7akanah	7akanah	ʔ a k a n a h	False	0.0			1 7 1 7 4 7 3	AXBYBYN	HAKANAH	9	9.H.C 9.A.V 9.K.C 9.A.V 9.N.C 9.A.V 9.H.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	ʔakanah	0	0	4986-Mayan	6727
7619	Qeqchi	Mayan	groan	GROAN	tz'uyink	tz'uyink	tsʼ u j i n kʰ	False	0.0			1 7 6 7 4 1	AXBYLN	TYJINK	5	5.T.C 5.Y.V 5.J.C 5.I.V 5.N.c 5.K.c	2.0 1.5 1.75 1.3 1.1 0.8	tsʼujinkʰ	0	0	4982-Mayan	6724
9679	Otomi	Otomanguean	groan	GROAN	gäts'i	gäts'i	g ɐ tsʼ i	False	0.0			1 7 1 7	AXBZ	KETI	3	3.K.C 3.E.V 3.T.C 3.I.V	2.0 1.5 1.75 0.8	gɐtsʼi	0	0	4980-Otomanguean	6722
11113	ImbaburaQuechua	Quechuan	groan	GROAN	wakarina	wakarina	w a k a ɾ i n a	False	0.0			6 7 1 7 5 7 4 7	AXBYBYBZ	WAKARINA	1	1.W.C 1.A.V 1.K.C 1.A.V 1.R.C 1.I.V 1.N.C 1.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	wakaɾina	0	0	4978-Quechuan	6719
12328	Wichi	Matacoan	groan	GROAN	y’ip	y’ip	y ʔ i p	False	0.0			7 1 7 1	XBYN	YHIP	7	7.Y.V 7.H.C 7.I.V 7.P.c	1.5 1.75 1.3 0.8	yʔip	0	0	4984-Matacoan	6725
12329	Wichi	Matacoan	groan	GROAN	t’onlhi	t’onlhi	t ʔ o n lˠ i	False	0.0			1 1 7 4 5 7	ACYBCZ	THUNLI	7	7.T.C 7.H.C 7.U.V 7.N.C 7.L.C 7.I.V	2.0 1.5 1.3 1.75 1.5 0.8	tʔonlˠi	0	0	4987-Matacoan	6728
13598	Mapudungun	Araucanian	groan	GROAN	etüngün	etüngün	e t ɨ ŋ ɨ n	False	0.0			7 1 7 4 7 4	XBYBYN	ETININ	2	2.E.V 2.T.C 2.I.V 2.N.C 2.I.V 2.N.c	1.5 1.75 1.3 1.75 1.3 0.8	etɨŋɨn	0	0	4979-Araucanian	6720
1127	Portuguese	Indo-European	grow	GROW	crescer	crescer	k ɾ e ʃ s e ʁ					1 5 7 3 3 7 5	ACXMBYN	KRESSER	4	4.K.C 4.R.C 4.E.V 4.S.c 4.S.C 4.E.V 4.R.c	2.0 1.5 1.5 1.1 1.75 1.3 0.8	kɾeʃseʁ	0	0	4991-Indo-European	6734
2860	Spanish	Indo-European	grow	GROW	crecer	crecer	k ɾ e s ɛ ɾ					1 5 7 3 7 5	ACXBYN	KRESER	6	6.K.C 6.R.C 6.E.V 6.S.C 6.E.V 6.R.c	2.0 1.5 1.5 1.75 1.3 0.8	kɾesɛɾ	0	0	4991-Indo-European	6734
4415	Yaqui	Uto-Aztecan	grow	GROW	yo’otu	yo’otu	j o ʔ o t u	False	0.0			6 7 1 7 1 7	AXBYBZ	JUHUTY	8	8.J.C 8.U.V 8.H.C 8.U.V 8.T.C 8.Y.V	2.0 1.5 1.75 1.3 1.75 0.8	joʔotu	0	0	4995-Uto-Aztecan	6737
5760	ZinacantanTzotzil	Mayan	grow	GROW	ch’i	ch’i	tʃʼ i	False	0.0			1 7	AX	TI	9	9.T.C 9.I.V	2.0 1.5	tʃʼi	0	0	4990-Mayan	6732
7313	Qeqchi	Mayan	grow	GROW	nimank	nimank	n i m a n kʰ	False	0.0			4 7 4 7 4 1	AXBYLN	NIMANK	5	5.N.C 5.I.V 5.M.C 5.A.V 5.N.c 5.K.c	2.0 1.5 1.75 1.3 1.1 0.8	nimankʰ	0	0	4992-Mayan	6735
7314	Qeqchi	Mayan	grow	GROW	k’iik	k’iik	kʼ iː kʰ	False	0.0			1 7 1	AXN	KIK	5	5.K.C 5.I.V 5.K.c	2.0 1.5 0.8	kʼiːkʰ	0	0	4997-Mayan	6738
9347	Otomi	Otomanguean	grow	GROW	te	te	t̪ e	False	0.0			1 7	AX	TE	3	3.T.C 3.E.V	2.0 1.5	t̪e	0	0	4990-Otomanguean	6733
10934	ImbaburaQuechua	Quechuan	grow	GROW	jatunyana	jatunyana	x a t u n j a n a	False	0.0			3 7 1 7 4 6 7 4 7	AXBYBCYBZ	GATYNJANA	1	1.G.C 1.A.V 1.T.C 1.Y.V 1.N.C 1.J.C 1.A.V 1.N.C 1.A.V	2.0 1.5 1.75 1.3 1.75 1.5 1.3 1.75 0.8	xatunjana	0	0	4988-Quechuan	6729
12149	Wichi	Matacoan	grow	GROW	chiyhel	chiyhel	tʃ i j h e l	False	0.0			1 7 6 3 7 5	AXMBYN	TIJHEL	7	7.T.C 7.I.V 7.J.c 7.H.C 7.E.V 7.L.c	2.0 1.5 1.1 1.75 1.3 0.8	tʃijhel	0	0	4994-Matacoan	6736
13418	Mapudungun	Araucanian	grow	GROW	tremün	tremün	ʈʂ e m ɨ n	False	0.0			2 7 4 7 4	AXBYN	CEMIN	2	2.C.C 2.E.V 2.M.C 2.I.V 2.N.c	2.0 1.5 1.75 1.3 0.8	ʈʂemɨn	0	0	4989-Araucanian	6730
1602	Portuguese	Indo-European	guard	GUARD	guarda	guarda	ɡ w a ʁ d ɐ					1 6 7 5 1 7	ACXMBZ	KWARTE	4	4.K.C 4.W.C 4.A.V 4.R.c 4.T.C 4.E.V	2.0 1.5 1.5 1.1 1.75 0.8	ɡwaʁdɐ	0	0	5000-Indo-European	6742
1603	Portuguese	Indo-European	guard	GUARD	sentinela	sentinela	s ẽ tʃ i n ɛ l ɐ					3 7 1 7 4 7 5 7	AXBYBYBZ	SETINELE	4	4.S.C 4.E.V 4.T.C 4.I.V 4.N.C 4.E.V 4.L.C 4.E.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	sẽtʃinɛlɐ	0	0	5007-Indo-European	6748
3369	Spanish	Indo-European	guard	GUARD	guardia	guardia	g w a ɾ ð j a					1 6 7 5 3 6 7	ACXMBCZ	KWARDJA	6	6.K.C 6.W.C 6.A.V 6.R.c 6.D.C 6.J.C 6.A.V	2.0 1.5 1.5 1.1 1.75 1.5 0.8	gwaɾðja	0	0	5000-Indo-European	6742
3370	Spanish	Indo-European	guard	GUARD	centinela	centinela	s e n t i n e l a					3 7 4 1 7 4 7 5 7	AXMBYBYBZ	SENTINELA	6	6.S.C 6.E.V 6.N.c 6.T.C 6.I.V 6.N.C 6.E.V 6.L.C 6.A.V	2.0 1.5 1.1 1.75 1.3 1.75 1.3 1.75 0.8	sentinela	0	0	5007-Indo-European	6748
4818	Yaqui	Uto-Aztecan	guard	GUARD	waaria	waaria	w aː r i a	True	1.0	Spanish	guardia	6 7 5 7 7	AXBYZ	WARIA	8	8.W.C 8.A.V 8.R.C 8.I.V 8.A.V	2.0 1.5 1.75 1.3 0.8	waːria	0	0	5004-Uto-Aztecan	6745
6104	ZinacantanTzotzil	Mayan	guard	GUARD	hchabivaneh	hchabivaneh	h tʃʰ a ɓ i v a n e h	False	0.0			3 1 7 1 7 3 7 4 7 3	ACYBYBYBYN	HTAPIBANEH	9	9.H.C 9.T.C 9.A.V 9.P.C 9.I.V 9.B.C 9.A.V 9.N.C 9.E.V 9.H.c	2.0 1.5 1.3 1.75 1.3 1.75 1.3 1.75 1.3 0.8	htʃʰaɓivaneh	0	0	5005-Mayan	6746
7843	Qeqchi	Mayan	guard	GUARD	taaqinel	taaqinel	t aː q i n e l	False	0.0			1 7 1 7 4 7 5	AXBYBYN	TAKINEL	5	5.T.C 5.A.V 5.K.C 5.I.V 5.N.C 5.E.V 5.L.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	taːqinel	0	0	5001-Mayan	6743
10046	Otomi	Otomanguean	guard	GUARD	heti	heti	h e t̪ i	False	0.0			3 7 1 7	AXBZ	HETI	3	3.H.C 3.E.V 3.T.C 3.I.V	2.0 1.5 1.75 0.8	het̪i	0	0	4999-Otomanguean	6740
10047	Otomi	Otomanguean	guard	GUARD	do̲'mte	do̲'mte	d ə ˀm t̪ e	False	0.0			1 7 4 1 7	AXMBZ	TEMTE	3	3.T.C 3.E.V 3.M.c 3.T.C 3.E.V	2.0 1.5 1.1 1.75 0.8	dəˀmt̪e	0	0	5006-Otomanguean	6747
10048	Otomi	Otomanguean	guard	GUARD	do̲'munguu	do̲'munguu	d ə ˀm u n g uː	False	0.0			1 7 4 7 4 1 7	AXBYMBZ	TEMYNKY	3	3.T.C 3.E.V 3.M.C 3.Y.V 3.N.c 3.K.C 3.Y.V	2.0 1.5 1.75 1.3 1.1 1.75 0.8	dəˀmunguː	0	0	5009-Otomanguean	6749
10049	Otomi	Otomanguean	guard	GUARD	jamansu	jamansu	x a m a n s u	False	0.0			3 7 4 7 4 3 7	AXBYMBZ	GAMANSY	3	3.G.C 3.A.V 3.M.C 3.A.V 3.N.c 3.S.C 3.Y.V	2.0 1.5 1.75 1.3 1.1 1.75 0.8	xamansu	0	0	5010-Otomanguean	6751
11272	ImbaburaQuechua	Quechuan	guard	GUARD	chapa	chapa	tʃ a p a	False	0.0			1 7 1 7	AXBZ	TAPA	1	1.T.C 1.A.V 1.P.C 1.A.V	2.0 1.5 1.75 0.8	tʃapa	0	0	4998-Quechuan	6739
12501	Wichi	Matacoan	guard	GUARD	walia	walia	w a l i a	True	1.0	Spanish	guardia	6 7 5 7 7	AXBYZ	WALIA	7	7.W.C 7.A.V 7.L.C 7.I.V 7.A.V	2.0 1.5 1.75 1.3 0.8	walia	0	0	5003-Matacoan	6744
1416	Portuguese	Indo-European	guess	GUESS	adivinhar	adivinhar	a dʒ i v i ɲ a ʁ					7 1 7 3 7 4 7 5	XBYBYBYN	ATIBINAR	4	4.A.V 4.T.C 4.I.V 4.B.C 4.I.V 4.N.C 4.A.V 4.R.c	1.5 1.75 1.3 1.75 1.3 1.75 1.3 0.8	adʒiviɲaʁ	0	5011	5011-Indo-European	6752
1417	Portuguese	Indo-European	guess	GUESS	conjeturar	conjeturar	k õ ʒ e t u ɾ a ʁ					1 7 3 7 1 7 5 7 5	AXBYBYBYN	KUSETYRAR	4	4.K.C 4.U.V 4.S.C 4.E.V 4.T.C 4.Y.V 4.R.C 4.A.V 4.R.c	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 0.8	kõʒetuɾaʁ	0	0	5022-Indo-European	6762
