ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	DONOR_LANGUAGE	DONOR_VALUE	SOURCE_LANGUAGE	SOURCE_VALUE	SOURCE_ID	DETECT_STATUS
3890	Yaqui	COOKED	bwasa’i	bwasa’i	bʷ a s a ʔ i						tn
5311	ZinacantanTzotzil	COOKED	tok’on	tok’on	t o kʼ o n						tn
6657	Qeqchi	COOKED	k'uub'aak	k'uub'aak	k ʔ uː ɓ aː kʰ						tn
6658	Qeqchi	COOKED	k'ub'k'u	k'ub'k'u	k ʔ u ɓ kʼ u						tn
6659	Qeqchi	COOKED	chaq'	chaq'	tʃ a qʼ						tn
8511	Otomi	COOKED	ndä (1)	ndä	n d ɐ						tn
10521	ImbaburaQuechua	COOKED	yanushka	yanushka	j a n u ʃ k a						tn
11708	Wichi	COOKED	y’u	y’u	y ʔ u						tn
12982	Mapudungun	COOKED	afün	afün	a f ɨ n						tn
685	Portuguese	COOKHOUSE	cozinha	cozinha	k o z i ɲ ɐ						
2382	Spanish	COOKHOUSE	cocina	cocina	k o s i n a						
4053	Yaqui	COOKHOUSE	kosina	kosina	k o s i n a	Spanish	cocina	Portuguese	k o z i ɲ ɐ	685	tn
5445	ZinacantanTzotzil	COOKHOUSE	kusina	kusina	k u s i n a	Spanish	cocina	Portuguese	k o z i ɲ ɐ	685	tn
6830	Qeqchi	COOKHOUSE	k'uub'leb'aal	k'uub'leb'aal	k ʔ uː ɓ l e ɓ aː l						tn
6831	Qeqchi	COOKHOUSE	xna'aj xam	xna'aj_xam	ʃ n a ʔ a x + ʃ a m						tn
8727	Otomi	COOKHOUSE	nthoku̲nts'i	nthoku̲nts'i	n θ o k u n tsʼ i						tn
8728	Otomi	COOKHOUSE	nthoku̲hñuni	nthoku̲hñuni	n θ o k u h ɲ u n i						tn
8729	Otomi	COOKHOUSE	nthoku̲komida	nthoku̲komida	n θ o k u k o m i d a	Spanish	comida				tn
10644	ImbaburaQuechua	COOKHOUSE	yanuna uku	yanuna_uku	j a n u n a + u k u						tn
11837	Wichi	COOKHOUSE	tolhatajw’et	tolhatajw’et	t o lˠ a t a xʷ ʔ e t						tn
528	Portuguese	COOKING POT	panela	panela	p ɐ n ɛ l ɐ						
2224	Spanish	COOKING POT	olla	olla	o ʝ a						
435	Portuguese	COPULATE	ter relações sexuais	ter_relações_sexuais	t e ʁ + ʁ e l a s õĩ ʃ + s e k s u ai ʃ						
2133	Spanish	COPULATE	tener relaciones sexuales	tener_relaciones_sexuales	t e n ɛ ɾ + r e l a s j o n e s + s ɛ k s w a l e s						
3838	Yaqui	COPULATE	nau to’ote	nau_to’ote	n a u + t o ʔ o t e						tn
3839	Yaqui	COPULATE	soa	soa	s o a						tn
5260	ZinacantanTzotzil	COPULATE	pas mul	pas_mul	pʰ a s + m u l						tn
5261	ZinacantanTzotzil	COPULATE	7ik’ baik	7ik’_baik	ʔ i kʼ + ɓ a i k						tn
6592	Qeqchi	COPULATE	aatinank	aatinank	aː t i n a n kʰ						tn
8437	Otomi	COPULATE	kui	kui	k u i						tn
8438	Otomi	COPULATE	heki	heki	h e k i						tn
8439	Otomi	COPULATE	hñuxui	hñuxui	h ɲ u x u i						tn
10481	ImbaburaQuechua	COPULATE	yumana	yumana	j u m a n a						tn
11662	Wichi	COPULATE	wanhen	wanhen	w a n̥ e n						tn
12935	Mapudungun	COPULATE	kuretun	kuretun	k u ɻ e t u n						tn
1151	Portuguese	CORNER	esquina	esquina	i s k i n ɐ						
1152	Portuguese	CORNER	canto	canto	k ɐ̃ t u						
2884	Spanish	CORNER	esquina	esquina	ɛ s k i n a						
2885	Spanish	CORNER	rincón	rincón	r i n k o n						
4434	Yaqui	CORNER	kobi’iria	kobi’iria	k o b i ʔ i r i a						tn
4435	Yaqui	CORNER	ejkiina	ejkiina	e j k iː n a	Spanish	esquina	Portuguese	i s k i n ɐ	1151	tn
5784	ZinacantanTzotzil	CORNER	xuk'av	xuk'av	ʃ u k ʔ a v						tn
7366	Qeqchi	CORNER	xuk	xuk	ʃ u kʰ	Ch’olan	xuhk’				tn
7367	Qeqchi	CORNER	loot'	loot'	l oː tʼ						tn
9386	Otomi	CORNER	ts'ät'i	ts'ät'i	ts ʔ ɐ t̪ʼ i			Portuguese	k ɐ̃ t u	1152	fp
10952	ImbaburaQuechua	CORNER	kuchu	kuchu	k u tʃ u			Portuguese	k ɐ̃ t u	1152	fp
12170	Wichi	CORNER	latshelho’	latshelho’	l a tsʰ e lˠ o ʔ						tn
13438	Mapudungun	CORNER	ngüyon	ngüyon	ŋ ɨ y o n						tn
453	Portuguese	CORPSE	cadáver	cadáver	k a d a v e ʁ						
2149	Spanish	CORPSE	cadáver	cadáver	k a ð a β ɛ ɾ						
3850	Yaqui	CORPSE	mukila	mukila	m u k i l a						tn
6603	Qeqchi	CORPSE	kamenaq	kamenaq	k a m e n a qʰ						tn
8451	Otomi	CORPSE	animä	animä	a n i m ɐ	Spanish	anima				tn
10489	ImbaburaQuechua	CORPSE	wañushka	wañushka	w a ɲ u ʃ k a						tn
11672	Wichi	CORPSE	top’itsek	top’itsek	t o p ʔ i ts e k						tn
12944	Mapudungun	CORPSE	ḻa	ḻa	l̪ a						tn
1395	Portuguese	CORRECT (RIGHT)	correto	correto	k o ʁ ɛ t u						
3139	Spanish	CORRECT (RIGHT)	correcto	correcto	k o r e k t o						
4652	Yaqui	CORRECT (RIGHT)	tu’i	tu’i	t u ʔ i						tn
7649	Qeqchi	CORRECT (RIGHT)	q'axal chaab'il	q'axal_chaab'il	qʼ a ʃ a l + tʃ aː ɓ i l						tn
9711	Otomi	CORRECT (RIGHT)	hogi	hogi	h o g i						tn
9712	Otomi	CORRECT (RIGHT)	xi hño	xi_hño	x i + h ɲ o						tn
9713	Otomi	CORRECT (RIGHT)	makwäni	makwäni	m a kʷ ɐ n i						tn
11131	ImbaburaQuechua	CORRECT (RIGHT)	ali	ali	a l i						tn
12347	Wichi	CORRECT (RIGHT)	is’alhuhu	is’alhuhu	i s ʔ a lˠ u h u						tn
13617	Mapudungun	CORRECT (RIGHT)	nor che	nor_che	n o ɻ + tʃ e						tn
611	Portuguese	COTTON	algodão	algodão	au ɡ o d ɐ̃ũ						
2302	Spanish	COTTON	algodón	algodón	a l ɣ o ð o n						
3983	Yaqui	COTTON	chiinim	chiinim	tʃ iː n i m						tn
5400	ZinacantanTzotzil	COTTON	tushnuk’	tushnuk’	t u ʃ n u kʼ						tn
6766	Qeqchi	COTTON	noq’	noq’	n o qʼ						tn
8635	Otomi	COTTON	nda̲	nda̲	n d ɔ						tn
10597	ImbaburaQuechua	COTTON	algudun	algudun	a l g u d u ŋ	Spanish	algodón	Portuguese	au ɡ o d ɐ̃ũ	611	tn
11782	Wichi	COTTON	wesetaj	wesetaj	w e s e t a x						tn
418	Portuguese	COUGH	tossir	tossir	t o s i ʁ						
2113	Spanish	COUGH	toser	toser	t o s ɛ ɾ						
3822	Yaqui	COUGH	tase	tase	t a s e			Portuguese	t o s i ʁ	418	fp
5242	ZinacantanTzotzil	COUGH	7obah	7obah	ʔ o ɓ a h						tn
6563	Qeqchi	COUGH	ojb'ak	ojb'ak	o x ɓ a kʰ						tn
8415	Otomi	COUGH	hehe	hehe	h e h e						tn
10466	ImbaburaQuechua	COUGH	ujuna	ujuna	u x u n a						tn
11647	Wichi	COUGH	takhosi	takhosi	t a kʰ o s i						tn
12920	Mapudungun	COUGH	trüfonün	trüfonün	ʈʂ ɨ f o n ɨ n						tn
1185	Portuguese	COUNT	contar	contar	k õ t a ʁ						
2918	Spanish	COUNT	contar	contar	k o n t a ɾ						
4476	Yaqui	COUNT	jina’ikia	jina’ikia	j i n a ʔ i k i a						tn
5812	ZinacantanTzotzil	COUNT	pas kwenta	pas_kwenta	pʰ a s + kʷ e n t a						tn
7399	Qeqchi	COUNT	ajlank	ajlank	a x l a n kʰ						tn
9425	Otomi	COUNT	pede	pede	p e d e						tn
10978	ImbaburaQuechua	COUNT	yupana (1)	yupana	j u p a n a						tn
12195	Wichi	COUNT	kunta	kunta	k u n t a	Spanish	contá	Portuguese	k õ t a ʁ	1185	tn
13463	Mapudungun	COUNT	rakin	rakin	ɻ a k i n						tn
1516	Portuguese	COUNTRY	país	país	p a i ʃ						
3281	Spanish	COUNTRY	país	país	p a i s						
4764	Yaqui	COUNTRY	bwia toosa	bwia_toosa	bʷ i a + t oː s a						tn
7772	Qeqchi	COUNTRY	nimla tenamit	nimla_tenamit	n i m l a + t e n a m i tʰ						tn
9928	Otomi	COUNTRY	hai	hai	h a i						tn
11229	ImbaburaQuechua	COUNTRY	mama llakta	mama_llakta	m a m a + ʒ a k t a						tn
12450	Wichi	COUNTRY	pais	pais	p a i s	Spanish	país	Portuguese	p a i ʃ	1516	tn
1625	Portuguese	COURT	tribunal	tribunal	t ɾ i b u n au						
3390	Spanish	COURT	tribunal	tribunal	t ɾ i β u n a l						
4834	Yaqui	COURT	tribunaal	tribunaal	t r i b u n aː l	Spanish	tribunal	Portuguese	t ɾ i b u n au	1625	tn
6114	ZinacantanTzotzil	COURT	kavilto	kavilto	k a v i l t o	Spanish	cabildo				tn
7864	Qeqchi	COURT	poopol	poopol	p oː p o l						tn
10083	Otomi	COURT	ndä ts'ut'ubi	ndä_ts'ut'ubi	n d ɐ + tsʼ u t̪ʼ u b i						tn
10084	Otomi	COURT	tribunäl	tribunäl	t̪ r i b u n ɐ l	Spanish	tribunal	Portuguese	t ɾ i b u n au	1625	tn
11281	ImbaburaQuechua	COURT	tribunal	tribunal	t ɾ i b u n a l	Spanish	tribunal	Portuguese	t ɾ i b u n au	1625	tn
12513	Wichi	COURT	tribunales	tribunales	t r i b u n a l e s	Spanish	tribunales	Portuguese	t ɾ i b u n au	1625	tn
157	Portuguese	COUSIN	primo	primo	p ɾ i m u						
158	Portuguese	COUSIN	prima	prima	p ɾ i m ɐ						
1837	Spanish	COUSIN	primo	primo	p ɾ i m o						
1838	Spanish	COUSIN	prima	prima	p ɾ i m a						
3593	Yaqui	COUSIN	ako	ako	a k o						tn
5007	ZinacantanTzotzil	COUSIN	muk’ta totil	muk’ta_totil	m u kʼ t a + t o t i l						tn
5008	ZinacantanTzotzil	COUSIN	7utz’ 7alalil	7utz’_7alalil	ʔ u tsʼ + ʔ a l a l i l						tn
5009	ZinacantanTzotzil	COUSIN	hun totil	hun_totil	h u n + t o t i l						tn
5010	ZinacantanTzotzil	COUSIN	hun ch’amalil	hun_ch’amalil	h u n + tʃʼ a m a l i l						tn
5011	ZinacantanTzotzil	COUSIN	hun nich’onil	hun_nich’onil	h u n + n i tʃʼ o n i l						tn
5012	ZinacantanTzotzil	COUSIN	hun 7olil	hun_7olil	h u n + ʔ o l i l						tn
6294	Qeqchi	COUSIN	as e	as_e	a s + e						tn
8086	Otomi	COUSIN	ho̲ku	ho̲ku	h ə k u						tn
8087	Otomi	COUSIN	ho̲ida̲	ho̲ida̲	h ə i d ɔ						tn
8088	Otomi	COUSIN	ho̲jujwe̲	ho̲jujwe̲	h ə x u xʷ æ						tn
8089	Otomi	COUSIN	ho̲jwädä	ho̲jwädä	h ə xʷ ɐ d ɐ						tn
10272	ImbaburaQuechua	COUSIN	primu	primu	p ɾ i m u	Spanish	primo/prima	Portuguese	p ɾ i m u	157	tn
12706	Mapudungun	COUSIN	peñi	peñi	p e ɲ i						tn
12707	Mapudungun	COUSIN	lamngen	lamngen	l a m ŋ e n						tn
12708	Mapudungun	COUSIN	müṉa	müṉa	m ɨ n̪ a						tn
1099	Portuguese	COVER	cobrir	cobrir	k o b ɾ i ʁ						
2832	Spanish	COVER	cubrir	cubrir	k u β ɾ i ɾ						
4392	Yaqui	COVER	patta	patta	p a t t a						tn
4393	Yaqui	COVER	jinte	jinte	j i n t e						tn
5738	ZinacantanTzotzil	COVER	mak	mak	m a k						tn
7287	Qeqchi	COVER	lepok	lepok	l e p o kʰ						tn
9322	Otomi	COVER	ko'mi	ko'mi	k o ˀm i						tn
10916	ImbaburaQuechua	COVER	killpana	killpana	k i ʒ p a n a						tn
12131	Wichi	COVER	hipupe’	hipupe’	h i p u p e ʔ						tn
13400	Mapudungun	COVER	takun	takun	t a k u n						tn
206	Portuguese	COW	vaca	vaca	v a k ɐ						
1891	Spanish	COW	vaca	vaca	b a k a						
3631	Yaqui	COW	waakas	waakas	w aː k a s	Spanish	vacas	Portuguese	v a k ɐ	206	tn
5045	ZinacantanTzotzil	COW	vaca	vaca	v a c a	Spanish	vaca	Portuguese	v a k ɐ	206	tn
5046	ZinacantanTzotzil	COW	me7 baka	me7_baka	m e ʔ + ɓ a k a	Spanish	vaca				tn
5047	ZinacantanTzotzil	COW	vacash	vacash	v a c a sʰ	Spanish	vaca	Portuguese	v a k ɐ	206	tn
6339	Qeqchi	COW	b’aak	b’aak	ɓ aː kʰ	Spanish	vaca	Portuguese	v a k ɐ	206	tn
8173	Otomi	COW	baga	baga	b a g a	Spanish	vaca	Portuguese	v a k ɐ	206	tn
10308	ImbaburaQuechua	COW	baka	baka	b a k a	Spanish	vaca	Portuguese	v a k ɐ	206	tn
11458	Wichi	COW	tulu atsinha	tulu_atsinha	t u l u + a ts i n̥ a	Spanish	toro				tn
12750	Mapudungun	COW	waka	waka	w a k a	Spanish	vaca	Portuguese	v a k ɐ	206	tn
937	Portuguese	CRAWL OR CREEP	rastejar	rastejar	ʁ a ʃ t e ʒ a ʁ						
938	Portuguese	CRAWL OR CREEP	arrastar-se	arrastar-se	a ʁ a ʃ t a ʁ s i						
2653	Spanish	CRAWL OR CREEP	gatear	gatear	g a t e a ɾ						
4250	Yaqui	CRAWL OR CREEP	waka’ate	waka’ate	w a k a ʔ a t e						tn
7110	Qeqchi	CRAWL OR CREEP	k'achiik	k'achiik	k ʔ a tʃ iː kʰ						tn
9098	Otomi	CRAWL OR CREEP	'ñani	'ñani	ˀɲ a n i						tn
10805	ImbaburaQuechua	CRAWL OR CREEP	llukana	llukana	ʒ u k a n a						tn
11998	Wichi	CRAWL OR CREEP	takuslhi	takuslhi	t a k u s lˠ i						tn
13281	Mapudungun	CRAWL OR CREEP	winolün	winolün	w i n o l ɨ n						tn
305	Portuguese	CROCODILE	jacaré	jacaré	ʒ a k a ɾ ɛ						
2000	Spanish	CROCODILE	cocodrilo	cocodrilo	k o k o ð ɾ i l o						
2001	Spanish	CROCODILE	caimán	caimán	k a i m a n						
3719	Yaqui	CROCODILE	kama (1)	kama	k a m a	Taino					tn
5130	ZinacantanTzotzil	CROCODILE	lagarto	lagarto	l a g a ɾ t o	Spanish	lagarto	Portuguese	ʒ a k a ɾ ɛ	305	tn
6451	Qeqchi	CROCODILE	ayin	ayin	a j i n						tn
8304	Otomi	CROCODILE	kokodrilo	kokodrilo	k o k o d r i l o	Spanish	cocodrilo				tn
10377	ImbaburaQuechua	CROCODILE	kukudrilu	kukudrilu	k u k u d ɾ i l u	Spanish	cocodrilo				tn
11556	Wichi	CROCODILE	alhetaj (1)	alhetaj	a lˠ e t a x						tn
1148	Portuguese	CROOKED	torcido	torcido	t o ʁ s i d u						
1149	Portuguese	CROOKED	torto	torto	t ɔ ʁ t u						
2882	Spanish	CROOKED	torcido	torcido	t o ɾ s i ð o						
4432	Yaqui	CROOKED	tottia	tottia	t o t t i a			Portuguese	t ɔ ʁ t u	1149	fp
5781	ZinacantanTzotzil	CROOKED	lukluk	lukluk	l u k l u k						tn
7357	Qeqchi	CROOKED	k'onk'o	k'onk'o	k ʔ o n kʼ o	Ch’olan	k’on...				tn
7358	Qeqchi	CROOKED	jech'	jech'	x e tʃʼ						tn
7359	Qeqchi	CROOKED	yokos	yokos	j o k o s						tn
7360	Qeqchi	CROOKED	b'ech'	b'ech'	ɓ e tʃʼ	Ch’olan	*b’ech’				tn
7361	Qeqchi	CROOKED	b'ach'b'o	b'ach'b'o	ɓ a tʃʼ ɓ o						tn
7362	Qeqchi	CROOKED	liq'lo	liq'lo	l i qʼ l o						tn
7363	Qeqchi	CROOKED	siq'il	siq'il	s i qʼ i l						tn
7364	Qeqchi	CROOKED	rok'ox	rok'ox	r o kʼ o ʃ						tn
9382	Otomi	CROOKED	‘ba̲t'i	‘ba̲t'i	ˀb ɔ t̪ʼ i						tn
9383	Otomi	CROOKED	nkäxi	nkäxi	n k ɐ x i						tn
9384	Otomi	CROOKED	mpa̲ni	mpa̲ni	m p ɔ n i						tn
10950	ImbaburaQuechua	CROOKED	kingu	kingu	k i ŋ g u						tn
12168	Wichi	CROOKED	tats’efwihu	tats’efwihu	t a ts ʔ e fʷ i h u						tn
13435	Mapudungun	CROOKED	trümpew	trümpew	ʈʂ ɨ m p e w						tn
13436	Mapudungun	CROOKED	wüchün	wüchün	w ɨ tʃ ɨ n						tn
1153	Portuguese	CROSS	cruz	cruz	k ɾ u ʃ						
2886	Spanish	CROSS	cruz	cruz	k ɾ u s						
4436	Yaqui	CROSS	kuus ~ kurus	kuus	k uː s	Spanish	cruz	Portuguese	k ɾ u ʃ	1153	tn
5785	ZinacantanTzotzil	CROSS	krus	krus	k ɾ u s	Spanish	cruz	Portuguese	k ɾ u ʃ	1153	tn
7368	Qeqchi	CROSS	krus, kurus	krus	k ɾ u s	Spanish	cruz	Portuguese	k ɾ u ʃ	1153	tn
9387	Otomi	CROSS	pont'i	pont'i	p o n t̪ʼ i						tn
9388	Otomi	CROSS	pont'u̲zaa	pont'u̲zaa	p o n t̪ʼ u z aː						tn
10953	ImbaburaQuechua	CROSS	krus	krus	k ɾ u s	Spanish	cruz	Portuguese	k ɾ u ʃ	1153	tn
12171	Wichi	CROSS	klus	klus	k l u s	Spanish	cruz	Portuguese	k ɾ u ʃ	1153	tn
13439	Mapudungun	CROSS	kürus	kürus	k ɨ ɻ u s	Spanish	cruz	Portuguese	k ɾ u ʃ	1153	tn
940	Portuguese	CROUCH	agachar-se	agachar-se	a ɡ a ʃ a ʁ s i						
2655	Spanish	CROUCH	agacharse	agacharse	a ɣ a tʃ a ɾ s e						
2656	Spanish	CROUCH	ponerse en cuclillas	ponerse_en_cuclillas	p o n ɛ ɾ s ɛ + e n + k u k l i ʝ a s						
4253	Yaqui	CROUCH	po’okte	po’okte	p o ʔ o k t e						tn
5626	ZinacantanTzotzil	CROUCH	tzuban ba	tzuban_ba	tsʰ u ɓ a n + ɓ a						tn
7112	Qeqchi	CROUCH	chok'laak	chok'laak	tʃ o kʼ l aː kʰ						tn
9100	Otomi	CROUCH	yuki	yuki	j u k i						tn
9101	Otomi	CROUCH	'ñani	'ñani	ˀɲ a n i						tn
10807	ImbaburaQuechua	CROUCH	kumurina	kumurina	k u m u ɾ i n a						tn
12000	Wichi	CROUCH	nitselhot	nitselhot	n i ts e lˠ o t						tn
13283	Mapudungun	CROUCH	chekoznaqün	chekoznaqün	tʃ e k o z n a ɣ ɨ n						tn
244	Portuguese	CROW	corvo	corvo	k ɔ ʁ v u						
1940	Spanish	CROW	cuervo	cuervo	k w ɛ ɾ β o						
3666	Yaqui	CROW	kooni	kooni	k oː n i						tn
5075	ZinacantanTzotzil	CROW	hoh	hoh	h o h						tn
6380	Qeqchi	CROW	qoch	qoch	q o tʃ						tn
8228	Otomi	CROW	ka	ka	k a						tn
11492	Wichi	CROW	tsetwu	tsetwu	ts e t w u						tn
12790	Mapudungun	CROW	yeku	yeku	y e k u						tn
1196	Portuguese	CROWD	multidão	multidão	m uu tʃ i d ɐ̃ũ						
2929	Spanish	CROWD	multitud	multitud	m u l t i t u ð						
4484	Yaqui	CROWD	bu’ura	bu’ura	b u ʔ u r a						tn
7416	Qeqchi	CROWD	amaq' tenamit	amaq'_tenamit	a m a qʼ + t e n a m i tʰ						tn
7417	Qeqchi	CROWD	k'ehal	k'ehal	k ʔ e h a l						tn
7418	Qeqchi	CROWD	naab'alil	naab'alil	n aː ɓ a l i l						tn
9444	Otomi	CROWD	hmunts’ujä’i	hmunts’ujä’i	h m u n tsʼ u x ɐ ʔ i						tn
9445	Otomi	CROWD	mundo	mundo	m u n d o	Spanish	montón	Portuguese	m uu tʃ i d ɐ̃ũ	1196	tn
10985	ImbaburaQuechua	CROWD	achka jinti	achka_jinti	a tʃ k a + x i n d i	Spanish	jinti				tn
12202	Wichi	CROWD	wefwpe’	wefwpe’	w e fʷ p e ʔ						tn
13470	Mapudungun	CROWD	rume fentren che	rume_fentren_che	ɻ u m e + f e n ʈʂ e n + tʃ e						tn
1369	Portuguese	CRY	chorar	chorar	ʃ o ɾ a ʁ						
3110	Spanish	CRY	llorar	llorar	ɟ ʝ o ɾ a ɾ						
4631	Yaqui	CRY	bwaana	bwaana	bʷ aː n a						tn
5945	ZinacantanTzotzil	CRY	7ok’ (2)	7ok’	ʔ o kʼ						tn
7617	Qeqchi	CRY	yaab'ak	yaab'ak	j aː ɓ a kʰ						tn
9677	Otomi	CRY	zoni	zoni	z o n i						tn
11111	ImbaburaQuechua	CRY	wakana	wakana	w a k a n a						tn
12326	Wichi	CRY	tafwlhi	tafwlhi	t a fʷ lˠ i						tn
13595	Mapudungun	CRY	ngüman	ngüman	ŋ ɨ m a n						tn
13596	Mapudungun	CRY	waylü-	waylü-	w a y l ɨ	Gününa Yajüch	-wjalï				tn
740	Portuguese	CULTIVATE	cultivar	cultivar	k uu tʃ i v a ʁ						
2433	Spanish	CULTIVATE	cultivar	cultivar	k u l t i β a ɾ						
2434	Spanish	CULTIVATE	labrar	labrar	l a β ɾ a ɾ						
4092	Yaqui	CULTIVATE	eecha	eecha	eː tʃ a						tn
6884	Qeqchi	CULTIVATE	xk’anjelankil	xk’anjelankil	ʃ kʼ a n x e l a n k i l						tn
8789	Otomi	CULTIVATE	fuxuhai	fuxuhai	f u x u h a i						tn
8790	Otomi	CULTIVATE	fu̲ts'i	fu̲ts'i	f u tsʼ i						tn
8791	Otomi	CULTIVATE	fo̲'mi	fo̲'mi	f ə ˀm i						tn
10675	ImbaburaQuechua	CULTIVATE	chakrana	chakrana	tʃ a k ɾ a n a						tn
13142	Mapudungun	CULTIVATE	ngaṉün	ngaṉün	ŋ a n̪ ɨ n						tn
536	Portuguese	CUP	xícara	xícara	ʃ i k a ɾ ɐ						
537	Portuguese	CUP	chávena	chávena	ʃ a v e n ɐ						
538	Portuguese	CUP	copo	copo	k ɔ p u						
2234	Spanish	CUP	taza	taza	t a s a						
2235	Spanish	CUP	copa	copa	k o p a						
3918	Yaqui	CUP	taasa	taasa	t aː s a	Spanish	taza				tn
5337	ZinacantanTzotzil	CUP	tasa	tasa	t a s a	Spanish	tasa				tn
5338	ZinacantanTzotzil	CUP	tasa boch	tasa_boch	t a s a + ɓ o tʃʰ	Spanish	taza				tn
6689	Qeqchi	CUP	sek'	sek'	s e kʼ	Western Mayan	sek’ (approximate form)				tn
6690	Qeqchi	CUP	wa'leb' sek'	wa'leb'_sek'	w a ʔ l e ɓ + s e kʼ						tn
6691	Qeqchi	CUP	taas	taas	t aː s	Spanish	taza				tn
8556	Otomi	CUP	tasa	tasa	t̪ a s a	Spanish	taza				tn
10543	ImbaburaQuechua	CUP	pilchi	pilchi	p i l tʃ i						tn
11730	Wichi	CUP	tolhothi	tolhothi	t o lˠ o tʰ i						tn
13004	Mapudungun	CUP	tasa	tasa	t a s a	Spanish	taza				tn
13005	Mapudungun	CUP	charu	charu	tʃ a ɻ u	Spanish	jarro				tn
482	Portuguese	CURE	sarar	sarar	s a ɾ a ʁ						
483	Portuguese	CURE	curar	curar	k u ɾ a ʁ						
2178	Spanish	CURE	sanar	sanar	s a n a ɾ						
2179	Spanish	CURE	curar	curar	k u ɾ a ɾ						
3867	Yaqui	CURE	tu’irea	tu’irea	t u ʔ i r e a						tn
3868	Yaqui	CURE	tu’itua	tu’itua	t u ʔ i t u a						tn
5290	ZinacantanTzotzil	CURE	yu7 7u7un	yu7_7u7un	j u ʔ + ʔ u ʔ u n						tn
6627	Qeqchi	CURE	k'irtesink	k'irtesink	k ʔ i ɾ t e s i n kʰ						tn
6628	Qeqchi	CURE	b'anok	b'anok	ɓ a n o kʰ						tn
8479	Otomi	CURE	thits’i	thits’i	θ i tsʼ i						tn
10505	ImbaburaQuechua	CURE	aliyana	aliyana	a l i j a n a						tn
11689	Wichi	CURE	ichesat	ichesat	i tʃ e s a t						tn
12962	Mapudungun	CURE	mogelün	mogelün	m o ɰ e l ɨ n						tn
1669	Portuguese	CURSE	amaldiçoar	amaldiçoar	ɐ m au dʒ i s o a ʁ						
3437	Spanish	CURSE	maldecir	maldecir	m a l d e s i ɾ						
4874	Yaqui	CURSE	jaaniawa	jaaniawa	j aː n i a w a						tn
6139	ZinacantanTzotzil	CURSE	7ak ta maltisyon	7ak_ta_maltisyon	ʔ a k + t a + m a l t i s j o n	Spanish	maldicio*n				tn
7908	Qeqchi	CURSE	hob'ok	hob'ok	h o ɓ o kʰ	Ch’olan	*hob’				tn
10145	Otomi	CURSE	tsani	tsani	ts a n i						tn
12535	Wichi	CURSE	ithate lhomet toj ni’isa	ithate_lhomet_toj_ni’isa	i tʰ a t e + lˠ o m e t + t o x + n i ʔ i s a						tn
13778	Mapudungun	CURSE	malisian	malisian	m a l i s i a n	Spanish	maldecir				tn
1560	Portuguese	CUSTOM	costume	costume	k o ʃ t u m i						
1561	Portuguese	CUSTOM	hábito	hábito	a b i t u						
3327	Spanish	CUSTOM	costumbre	costumbre	k o s t u m b ɾ e						
3328	Spanish	CUSTOM	hábito	hábito	a β i t o						
4791	Yaqui	CUSTOM	kojtumrem ~ kojtumbrem	kojtumrem	k o j t u m r e m	Spanish	costumbre	Portuguese	k o ʃ t u m i	1560	tn
6082	ZinacantanTzotzil	CUSTOM	tz’unbal	tz’unbal	tsʼ u n ɓ a l						tn
6083	ZinacantanTzotzil	CUSTOM	tasalul	tasalul	t a s a l u l						tn
7802	Qeqchi	CUSTOM	b'aanuheem	b'aanuheem	ɓ aː n u h eː m						tn
7803	Qeqchi	CUSTOM	na'leb' xe'toon	na'leb'_xe'toon	n a ʔ l e ɓ + ʃ e ʔ t oː n						tn
9989	Otomi	CUSTOM	‘mu̲i (1)	‘mu̲i	ˀm u i						tn
9990	Otomi	CUSTOM	nzäi	nzäi	n z ɐ i						tn
11253	ImbaburaQuechua	CUSTOM	koshtumbri	koshtumbri	k o ʃ t u m b ɾ i	Spanish	costumbre	Portuguese	k o ʃ t u m i	1560	tn
12475	Wichi	CUSTOM	tokey	tokey	t o k e j						tn
13732	Mapudungun	CUSTOM	wimtun	wimtun	w i m t u n						tn
831	Portuguese	CUT	cortar	cortar	k o ʁ t a ʁ						
2535	Spanish	CUT	cortar	cortar	k o ɾ t a ɾ						
4163	Yaqui	CUT	chukta	chukta	tʃ u k t a						tn
5544	ZinacantanTzotzil	CUT	boh	boh	ɓ o h						tn
5545	ZinacantanTzotzil	CUT	tuch’	tuch’	t u tʃʼ						tn
6983	Qeqchi	CUT	kuruk	kuruk	k u ɾ u kʰ						tn
8904	Otomi	CUT	he̲ki	he̲ki	h æ k i						tn
8905	Otomi	CUT	thot'i (2)	thot'i	θ o t̪ʼ i						tn
8906	Otomi	CUT	heni	heni	h e n i						tn
8907	Otomi	CUT	het'i	het'i	h e t̪ʼ i						tn
8908	Otomi	CUT	hets'i (2)	hets'i	h e tsʼ i						tn
8909	Otomi	CUT	tseni	tseni	ts e n i						tn
8910	Otomi	CUT	äxi	äxi	ɐ x i						tn
8911	Otomi	CUT	tuki (3)	tuki	t̪ u k i						tn
8912	Otomi	CUT	toki	toki	t̪ o k i						tn
8913	Otomi	CUT	tsenzaa	tsenzaa	ts e n z aː						tn
8914	Otomi	CUT	thoki	thoki	θ o k i						tn
8915	Otomi	CUT	tseki	tseki	ts e k i						tn
8916	Otomi	CUT	tse̲ki	tse̲ki	ts æ k i						tn
8917	Otomi	CUT	tse̲ni	tse̲ni	ts æ n i						tn
