ID	DOCULECT	LANGUAGE_FAMILY	CONCEPT	VALUE	FORM	TOKENS	DONOR_LANGUAGE	DONOR_VALUE	SOURCE_LANGUAGE	SOURCE_VALUE	SOURCE_ID
446	Portuguese	Indo-European	BE ALIVE OR LIFE	vivo	vivo	v i v u					
447	Portuguese	Indo-European	BE ALIVE OR LIFE	a	a	a					
448	Portuguese	Indo-European	BE ALIVE OR LIFE	vida	vida	v i d ɐ					
2142	Spanish	Indo-European	BE ALIVE OR LIFE	vivir	vivir	b i β i ɾ					
2143	Spanish	Indo-European	BE ALIVE OR LIFE	vivo	vivo	b i β o					
2144	Spanish	Indo-European	BE ALIVE OR LIFE	vida	vida	b i ð a					
441	Portuguese	Indo-European	BE BORN	nascer	nascer	n a ʃ s e ʁ					
2138	Spanish	Indo-European	BE BORN	nacer	nacer	n a s ɛ ɾ					
3844	Yaqui	Uto-Aztecan	BE BORN	tomtek	tomtek	t o m t e k					
3845	Yaqui	Uto-Aztecan	BE BORN	tomta	tomta	t o m t a					
5264	ZinacantanTzotzil	Mayan	BE BORN	vinkilah	vinkilah	v i n k i l a h					
6598	Qeqchi	Mayan	BE BORN	siyaak	siyaak	s i j aː kʰ	Ch’olan	*sih			
8446	Otomi	Otomanguean	BE BORN	‘bui	‘bui	ˀb u i					
10485	ImbaburaQuechua	Quechuan	BE BORN	wacharina	wacharina	w a tʃ a ɾ i n a					
11667	Wichi	Matacoan	BE BORN	nichotcho’	nichotcho’	n i tʃ o t tʃ o ʔ					
12939	Mapudungun	Araucanian	BE BORN	mülen	mülen	m ɨ l e n					
12940	Mapudungun	Araucanian	BE BORN	lleqün	lleqün	ʎ e ɣ ɨ n					
449	Portuguese	Indo-European	BE DEAD OR DIE	morrer	morrer	m o ʁ e ʁ					
450	Portuguese	Indo-European	BE DEAD OR DIE	morto	morto	m ɔ ʁ t u					
2145	Spanish	Indo-European	BE DEAD OR DIE	morir	morir	m o ɾ i ɾ					
2146	Spanish	Indo-European	BE DEAD OR DIE	muerto	muerto	m w ɛ ɾ t o					
1227	Portuguese	Indo-European	BE LATE	demorar	demorar	d e m o ɾ a ʁ					
1228	Portuguese	Indo-European	BE LATE	atrasar	atrasar	a t ɾ a z a ʁ					
2960	Spanish	Indo-European	BE LATE	demorar	demorar	d e m o ɾ a ɾ					
2961	Spanish	Indo-European	BE LATE	retrasar	retrasar	r ɛ t ɾ a s a ɾ					
2962	Spanish	Indo-European	BE LATE	tardar	tardar	t a ɾ ð a ɾ					
4511	Yaqui	Uto-Aztecan	BE LATE	binwatu	binwatu	b i n w a t u					
7465	Qeqchi	Mayan	BE LATE	b’ayk	b’ayk	ɓ a j kʰ					
7466	Qeqchi	Mayan	BE LATE	najto'k	najto'k	n a x t o ʔ kʰ					
9492	Otomi	Otomanguean	BE LATE	tsoho bi nde	tsoho_bi_nde	ts o h o + b i + n d e					
9493	Otomi	Otomanguean	BE LATE	tsoho bi hñuxadi	tsoho_bi_hñuxadi	ts o h o + b i + h ɲ u x a d i					
9494	Otomi	Otomanguean	BE LATE	tsoho bi nxui	tsoho_bi_nxui	ts o h o + b i + n x u i					
11009	ImbaburaQuechua	Quechuan	BE LATE	unayana	unayana	u n a j a n a					
12226	Wichi	Matacoan	BE LATE	’utle	’utle	ʔ u t l e					
13498	Mapudungun	Araucanian	BE LATE	alüñman	alüñman	a l ɨ ɲ m a n					
1483	Portuguese	Indo-European	BE SILENT	ficar em silêncio	ficar_em_silêncio	f i k a ʁ + ẽĩ + s i l ẽ s j u					
3244	Spanish	Indo-European	BE SILENT	callarse	callarse	k a ʝ a ɾ s e					
4733	Yaqui	Uto-Aztecan	BE SILENT	kopalai	kopalai	k o p a l a i					
7742	Qeqchi	Mayan	BE SILENT	kulku	kulku	k u l k u					
9878	Otomi	Otomanguean	BE SILENT	hñei	hñei	h ɲ e i					
11203	ImbaburaQuechua	Quechuan	BE SILENT	upallayana	upallayana	u p a ʒ a j a n a					
12421	Wichi	Matacoan	BE SILENT	hatats’inhi	hatats’inhi	h a t a ts ʔ i n̥ i					
13692	Mapudungun	Araucanian	BE SILENT	ñüküfnaqün	ñüküfnaqün	ɲ ɨ k ɨ f n a ɣ ɨ n					
660	Portuguese	Indo-European	BEAD	contas	contas	k õ t a ʃ					
661	Portuguese	Indo-European	BEAD	miçanga	miçanga	m i s ɐ̃ ɡ ɐ					
2352	Spanish	Indo-European	BEAD	chaquira	chaquira	tʃ a k i ɾ a					
2353	Spanish	Indo-European	BEAD	abalorio	abalorio	a β a l o ɾ j o					
4034	Yaqui	Uto-Aztecan	BEAD	kookam	kookam	k oː k a m					
5430	ZinacantanTzotzil	Mayan	BEAD	satil	satil	s a t i l	Tojolabal	sat			
8694	Otomi	Otomanguean	BEAD	nxaji	nxaji	n x a x i					
10627	ImbaburaQuechua	Quechuan	BEAD	muyu (2)	muyu	m u j u					
11818	Wichi	Matacoan	BEAD	tolhamis	tolhamis	t o lˠ a m i s					
355	Portuguese	Indo-European	BEAK	bico	bico	b i k u					
2049	Spanish	Indo-European	BEAK	pico	pico	p i k o					
3759	Yaqui	Uto-Aztecan	BEAK	teeni	teeni	t eː n i					
3760	Yaqui	Uto-Aztecan	BEAK	piiko	piiko	p iː k o	Spanish	pico	Portuguese	b i k u	355
5175	ZinacantanTzotzil	Mayan	BEAK	ni7	ni7	n i ʔ					
6496	Qeqchi	Mayan	BEAK	ruuch e	ruuch_e	r uː tʃ + e					
8351	Otomi	Otomanguean	BEAK	ndo'yone	ndo'yone	n d o ˀj o n e					
10415	ImbaburaQuechua	Quechuan	BEAK	piku	piku	p i k u	Spanish	pico	Portuguese	b i k u	355
11595	Wichi	Matacoan	BEAK	toposet	toposet	t o p o s e t					
12867	Mapudungun	Araucanian	BEAK	wüṉ	wüṉ	w ɨ n̪					
725	Portuguese	Indo-European	BEAM	viga	viga	v i ɡ ɐ					
726	Portuguese	Indo-European	BEAM	trave	trave	t ɾ a v i					
2417	Spanish	Indo-European	BEAM	viga	viga	b i ɣ a					
4081	Yaqui	Uto-Aztecan	BEAM	biika	biika	b iː k a	Spanish	viga			
5474	ZinacantanTzotzil	Mayan	BEAM	chantzelav te7	chantzelav_te7	tʃʰ a n tsʰ e l a v + t e ʔ					
6872	Qeqchi	Mayan	BEAM	tz'amb'a	tz'amb'a	tsʼ a m ɓ a	Western Mayan	tz’am...			
8769	Otomi	Otomanguean	BEAM	däzaa	däzaa	d ɐ z aː					
10665	ImbaburaQuechua	Quechuan	BEAM	biga	biga	b i g a	Spanish	viga			
11861	Wichi	Matacoan	BEAM	heplhip lheley	heplhip_lheley	h e p lˠ i p + lˠ e l e j					
13133	Mapudungun	Araucanian	BEAM	alof	alof	a l o f					
575	Portuguese	Indo-European	BEAN	feijão	feijão	f ei ʒ ɐ̃ũ					
2267	Spanish	Indo-European	BEAN	frijol	frijol	f ɾ i x o l					
2268	Spanish	Indo-European	BEAN	poroto	poroto	p o ɾ o t o					
3946	Yaqui	Uto-Aztecan	BEAN	muunim	muunim	m uː n i m					
5368	ZinacantanTzotzil	Mayan	BEAN	chenek’	chenek’	tʃʰ e n e kʼ					
6733	Qeqchi	Mayan	BEAN	kenq’	kenq’	k e n qʼ					
8593	Otomi	Otomanguean	BEAN	ju̲ (1)	ju̲	x u					
10568	ImbaburaQuechua	Quechuan	BEAN	purutu	purutu	p u ɾ u t u					
11753	Wichi	Matacoan	BEAN	pulutu	pulutu	p u l u t u	Quechua	purutu			
11754	Wichi	Matacoan	BEAN	onyaj	onyaj	o n j a x					
13035	Mapudungun	Araucanian	BEAN	zengüll	zengüll	z e ŋ ɨ ʎ					
272	Portuguese	Indo-European	BEAR	urso	urso	u ʁ s u					
1964	Spanish	Indo-European	BEAR	oso	oso	o s o					
3683	Yaqui	Uto-Aztecan	BEAR	ooso	ooso	oː s o	Spanish	oso			
5095	ZinacantanTzotzil	Mayan	BEAR	7osov	7osov	ʔ o s o v	Spanish	oso			
6402	Qeqchi	Mayan	BEAR	oos	oos	oː s	Spanish	oso			
8261	Otomi	Otomanguean	BEAR	'muhu	'muhu	ˀm u h u					
10350	ImbaburaQuechua	Quechuan	BEAR	usu	usu	u s u	Spanish	oso			
11513	Wichi	Matacoan	BEAR	selaj	selaj	s e l a x					
312	Portuguese	Indo-European	BEARD	barba	barba	b a ʁ b ɐ					
2010	Spanish	Indo-European	BEARD	barba	barba	b a ɾ β a					
3726	Yaqui	Uto-Aztecan	BEARD	chao boam	chao_boam	tʃ a o + b o a m					
5138	ZinacantanTzotzil	Mayan	BEARD	7isimil	7isimil	ʔ i s i m i l					
6458	Qeqchi	Mayan	BEARD	mach	mach	m a tʃ					
8311	Otomi	Otomanguean	BEARD	ju̲ni (1)	ju̲ni	x u n i					
10383	ImbaburaQuechua	Quechuan	BEARD	barbas	barbas	b a ɾ b a s	Spanish	barba			
11562	Wichi	Matacoan	BEARD	toposey	toposey	t o p o s e j					
12834	Mapudungun	Araucanian	BEARD	payuṉ	payuṉ	p a y u n̪					
1402	Portuguese	Indo-European	BEAUTIFUL	bonito	bonito	b o n i t u					
1403	Portuguese	Indo-European	BEAUTIFUL	belo	belo	b ɛ l u					
3149	Spanish	Indo-European	BEAUTIFUL	hermoso	hermoso	ɛ ɾ m o s o					
3150	Spanish	Indo-European	BEAUTIFUL	bonito	bonito	b o n i t o					
3151	Spanish	Indo-European	BEAUTIFUL	lindo	lindo	l i n d o					
4659	Yaqui	Uto-Aztecan	BEAUTIFUL	tutu’uli	tutu’uli	t u t u ʔ u l i					
4660	Yaqui	Uto-Aztecan	BEAUTIFUL	ujyooli	ujyooli	u j j oː l i					
5969	ZinacantanTzotzil	Mayan	BEAUTIFUL	leklek ba	leklek_ba	l e k l e k + ɓ a					
7657	Qeqchi	Mayan	BEAUTIFUL	xchaq'al wu'	xchaq'al_wu'	ʃ tʃ a qʼ a l + w u ʔ					
7658	Qeqchi	Mayan	BEAUTIFUL	ch'ina us	ch'ina_us	tʃʼ i n a + u s					
9727	Otomi	Otomanguean	BEAUTIFUL	xi nza̲tho	xi_nza̲tho	x i + n z ɔ θ o					
11137	ImbaburaQuechua	Quechuan	BEAUTIFUL	sumak	sumak	s u m a k					
12354	Wichi	Matacoan	BEAUTIFUL	isilataj	isilataj	i s i l a t a x					
13621	Mapudungun	Araucanian	BEAUTIFUL	küme azngen	küme_azngen	k ɨ m e + a z ŋ e n					
1453	Portuguese	Indo-European	BECAUSE	porque	porque	p u ʁ k i					
3211	Spanish	Indo-European	BECAUSE	porque	porque	p o ɾ k e					
4704	Yaqui	Uto-Aztecan	BECAUSE	bwe’ituk	bwe’ituk	bʷ e ʔ i t u k					
6009	ZinacantanTzotzil	Mayan	BECAUSE	k’u ti	k’u_ti	kʼ u + t i					
6010	ZinacantanTzotzil	Mayan	BECAUSE	porke	porke	pʰ o ɾ k e	Spanish	porque	Portuguese	p u ʁ k i	1453
7708	Qeqchi	Mayan	BECAUSE	xb’aan naq	xb’aan_naq	ʃ ɓ aː n + n a qʰ					
9813	Otomi	Otomanguean	BECAUSE	ngetho	ngetho	n g e θ o					
9814	Otomi	Otomanguean	BECAUSE	nge'ä	nge'ä	n g e ʔ ɐ					
11176	ImbaburaQuechua	Quechuan	BECAUSE	-manta	-manta	m a n d a					
12394	Wichi	Matacoan	BECAUSE	latesej	latesej	l a t e s e x					
13663	Mapudungun	Araucanian	BECAUSE	porke	porke	p o ɻ k e	Spanish	porque	Portuguese	p u ʁ k i	1453
705	Portuguese	Indo-European	BED	cama	cama	k ɐ m ɐ					
2401	Spanish	Indo-European	BED	cama	cama	k a m a					
4069	Yaqui	Uto-Aztecan	BED	kaamam	kaamam	k aː m a m	Spanish	cama			
5456	ZinacantanTzotzil	Mayan	BED	tem	tem	t e m					
5457	ZinacantanTzotzil	Mayan	BED	vayebal	vayebal	v a j e ɓ a l					
6854	Qeqchi	Mayan	BED	ch’aat	ch’aat	tʃʼ aː tʰ					
6855	Qeqchi	Mayan	BED	warib'	warib'	w a ɾ i ɓ					
8746	Otomi	Otomanguean	BED	nt'ots'i	nt'ots'i	n t̪ʼ o tsʼ i					
8747	Otomi	Otomanguean	BED	xifi (2)	xifi	x i f i					
10653	ImbaburaQuechua	Quechuan	BED	kama	kama	k a m a	Spanish	cama	Portuguese	k ɐ m ɐ	705
11848	Wichi	Matacoan	BED	tomow’et	tomow’et	t o m o w ʔ e t					
13117	Mapudungun	Araucanian	BED	kawitu	kawitu	k a w i t u	Quechua	kawitu			
288	Portuguese	Indo-European	BEE	abelha	abelha	a b e ʎ ɐ					
1983	Spanish	Indo-European	BEE	abeja	abeja	a β e x a					
3699	Yaqui	Uto-Aztecan	BEE	muumu	muumu	m uː m u					
5107	ZinacantanTzotzil	Mayan	BEE	chanul pom	chanul_pom	tʃʰ a n u l + p o m					
5108	ZinacantanTzotzil	Mayan	BEE	kachimpa pom	kachimpa_pom	k a tʃʰ i m p a + p o m	Spanish	cachimbo			
5109	ZinacantanTzotzil	Mayan	BEE	mermeho	mermeho	m e ɾ m e h o	Spanish	bermejo			
5110	ZinacantanTzotzil	Mayan	BEE	mishik’ pom	mishik’_pom	m i ʃ i kʼ + p o m					
5111	ZinacantanTzotzil	Mayan	BEE	ton pom	ton_pom	t o n + p o m					
6417	Qeqchi	Mayan	BEE	seer	seer	s eː r	Spanish	cera			
8280	Otomi	Otomanguean	BEE	kolmenä	kolmenä	k o l m e n ɐ	Spanish	colmena			
8281	Otomi	Otomanguean	BEE	gäne	gäne	g ɐ n e					
10362	ImbaburaQuechua	Quechuan	BEE	abija	abija	a b i x a	Spanish	abeja			
11527	Wichi	Matacoan	BEE	nakwutaj	nakwutaj	n a kʷ u t a x					
11528	Wichi	Matacoan	BEE	pini	pini	p i n i					
11529	Wichi	Matacoan	BEE	kolonp’un	kolonp’un	k o l o n p ʔ u n					
11530	Wichi	Matacoan	BEE	nakwu	nakwu	n a kʷ u					
11531	Wichi	Matacoan	BEE	simhat	simhat	s i m̥ a t					
11532	Wichi	Matacoan	BEE	supfwetaj	supfwetaj	s u p fʷ e t a x					
11533	Wichi	Matacoan	BEE	akoyek	akoyek	a k o j e k					
11534	Wichi	Matacoan	BEE	pemtsaj	pemtsaj	p e m ts a x					
11535	Wichi	Matacoan	BEE	neslo	neslo	n e s l o					
11536	Wichi	Matacoan	BEE	wun’a (2)	wun’a	w u n ʔ a					
11537	Wichi	Matacoan	BEE	nuwalhek	nuwalhek	n u w a lˠ e k					
11538	Wichi	Matacoan	BEE	tiklha	tiklha	t i k lˠ a					
11539	Wichi	Matacoan	BEE	matsitaj	matsitaj	m a ts i t a x					
12810	Mapudungun	Araucanian	BEE	ziwlliñ	ziwlliñ	z i w ʎ i ɲ					
12811	Mapudungun	Araucanian	BEE	kolmenia	kolmenia	k o l m e n i a	Spanish	colmena			
786	Portuguese	Indo-European	BEECH	faia	faia	f ai ɐ					
2483	Spanish	Indo-European	BEECH	haya	haya	a ʝ a					
4125	Yaqui	Uto-Aztecan	BEECH	oko taaka	oko_taaka	o k o + t aː k a					
8844	Otomi	Otomanguean	BEECH	nze̲di zaa (hingi hu̲)	nze̲di_zaa_(hingi_hu̲)	n z æ d i + z aː + h i n g i + h u					
11896	Wichi	Matacoan	BEECH	hal’o	hal’o	h a l ʔ o					
290	Portuguese	Indo-European	BEEHIVE	colmeia	colmeia	k ɔu m ei ɐ					
1985	Spanish	Indo-European	BEEHIVE	colmena	colmena	k o l m e n a					
3702	Yaqui	Uto-Aztecan	BEEHIVE	muumum	muumum	m uː m u m					
3703	Yaqui	Uto-Aztecan	BEEHIVE	kolmeenam	kolmeenam	k o l m eː n a m	Spanish	colmena			
5113	ZinacantanTzotzil	Mayan	BEEHIVE	na pom	na_pom	n a + p o m					
6419	Qeqchi	Mayan	BEEHIVE	rochoch kab'	rochoch_kab'	r o tʃ o tʃ + k a ɓ					
6420	Qeqchi	Mayan	BEEHIVE	xche'el kab'	xche'el_kab'	ʃ tʃ e ʔ e l + k a ɓ					
8283	Otomi	Otomanguean	BEEHIVE	kolmenä	kolmenä	k o l m e n ɐ	Spanish	colmena			
10364	ImbaburaQuechua	Quechuan	BEEHIVE	mishki puru	mishki_puru	m i ʃ k i + p u ɾ u					
11541	Wichi	Matacoan	BEEHIVE	hap’uk	hap’uk	h a p ʔ u k					
600	Portuguese	Indo-European	BEER	cerveja	cerveja	s e ʁ v e ʒ ɐ					
2292	Spanish	Indo-European	BEER	cerveza	cerveza	s ɛ ɾ β e s a					
3973	Yaqui	Uto-Aztecan	BEER	serbeesa	serbeesa	s e r b eː s a	Spanish	cerveza	Portuguese	s e ʁ v e ʒ ɐ	600
5391	ZinacantanTzotzil	Mayan	BEER	servesa	servesa	s e ɾ v e s a	Spanish (Mexican)	cerveza	Portuguese	s e ʁ v e ʒ ɐ	600
6756	Qeqchi	Mayan	BEER	serwees	serwees	s e r w eː s	Spanish	cerveza			
8621	Otomi	Otomanguean	BEER	serbesa	serbesa	s e r b e s a	Spanish	cerveza	Portuguese	s e ʁ v e ʒ ɐ	600
10589	ImbaburaQuechua	Quechuan	BEER	serbisa	serbisa	s e ɾ b i s a	Spanish	cerveza			
11773	Wichi	Matacoan	BEER	selwesa	selwesa	s e l w e s a	Spanish	cerveza			
289	Portuguese	Indo-European	BEESWAX	cera	cera	s ɛ ɾ ɐ					
1984	Spanish	Indo-European	BEESWAX	cera de abeja	cera_de_abeja	s ɛ ɾ a + ð e + a β e x a					
3700	Yaqui	Uto-Aztecan	BEESWAX	sito’ori	sito’ori	s i t o ʔ o r i					
3701	Yaqui	Uto-Aztecan	BEESWAX	mumu jo’ara	mumu_jo’ara	m u m u + j o ʔ a r a					
5112	ZinacantanTzotzil	Mayan	BEESWAX	sera 7ahapom	sera_7ahapom	s e ɾ a + ʔ a h a p o m	Spanish	cera			
6418	Qeqchi	Mayan	BEESWAX	tz’aak	tz’aak	tsʼ aː kʰ					
8282	Otomi	Otomanguean	BEESWAX	sera kolmenä	sera_kolmenä	s e r a + k o l m e n ɐ	Spanish	cera de abeja			
10363	ImbaburaQuechua	Quechuan	BEESWAX	mishki wira	mishki_wira	m i ʃ k i + w i ɾ a					
11540	Wichi	Matacoan	BEESWAX	akoyek lhes	akoyek_lhes	a k o j e k + lˠ e s					
12812	Mapudungun	Araucanian	BEESWAX	müski	müski	m ɨ s k i	Quechua	mishki			
1071	Portuguese	Indo-European	BEFORE	antes	antes	ɐ̃ t e ʃ					
1072	Portuguese	Indo-European	BEFORE	perante	perante	p e ɾ ɐ̃ tʃ i					
2799	Spanish	Indo-European	BEFORE	delante	delante	d e l a n t e					
2800	Spanish	Indo-European	BEFORE	antes de	antes_de	a n t e s + ð e					
4367	Yaqui	Uto-Aztecan	BEFORE	bichapo	bichapo	b i tʃ a p o					
5718	ZinacantanTzotzil	Mayan	BEFORE	ta	ta	t a					
7255	Qeqchi	Mayan	BEFORE	chi ru	chi_ru	tʃ i + ɾ u					
7256	Qeqchi	Mayan	BEFORE	junxil	junxil	x u n ʃ i l					
7257	Qeqchi	Mayan	BEFORE	rub’elaj	rub’elaj	r u ɓ e l a x					
9273	Otomi	Otomanguean	BEFORE	nu'bu̲ 'be̲tho	nu'bu̲_'be̲tho	n u ˀb u + ˀb æ θ o					
9274	Otomi	Otomanguean	BEFORE	'bu̲ 'be̲tho	'bu̲_'be̲tho	ˀb u + ˀb æ θ o					
9275	Otomi	Otomanguean	BEFORE	ante	ante	a n t̪ e	Spanish	ante			
10895	ImbaburaQuechua	Quechuan	BEFORE	ñaupa (1)	ñaupa	ɲ a u p a					
13375	Mapudungun	Araucanian	BEFORE	wüne	wüne	w ɨ n e					
439	Portuguese	Indo-European	BEGET	gerar	gerar	ʒ e ɾ a ʁ					
440	Portuguese	Indo-European	BEGET	emprenhar	emprenhar	ẽ p ɾ e ɲ a ʁ					
2136	Spanish	Indo-European	BEGET	engendrar	engendrar	e n x e n d ɾ a ɾ					
2137	Spanish	Indo-European	BEGET	procrear	procrear	p ɾ o k ɾ e a ɾ					
3843	Yaqui	Uto-Aztecan	BEGET	te’ochia	te’ochia	t e ʔ o tʃ i a	Nahuatl	teotia			
6597	Qeqchi	Mayan	BEGET	k'ajolink	k'ajolink	k ʔ a x o l i n kʰ					
8444	Otomi	Otomanguean	BEGET	‘ñembätsi	‘ñembätsi	ˀɲ e m b ɐ ts i					
8445	Otomi	Otomanguean	BEGET	japi	japi	x a p i					
10484	ImbaburaQuechua	Quechuan	BEGET	wawachina	wawachina	w a w a tʃ i n a					
11666	Wichi	Matacoan	BEGET	iwulhosahi	iwulhosahi	i w u lˠ o s a h i					
12938	Mapudungun	Araucanian	BEGET	yallün	yallün	y a ʎ ɨ n					
1041	Portuguese	Indo-European	BEGGAR	mendigo	mendigo	m ẽ dʒ i ɡ u					
2762	Spanish	Indo-European	BEGGAR	mendigo	mendigo	m e n d i ɣ o					
4341	Yaqui	Uto-Aztecan	BEGGAR	poobe	poobe	p oː b e	Spanish	pobre			
5694	ZinacantanTzotzil	Mayan	BEGGAR	hk’anlimushno	hk’anlimushno	h kʼ a n l i m u ʃ n o	Spanish	limonsna			
7220	Qeqchi	Mayan	BEGGAR	aj limoox	aj_limoox	a x + l i m oː ʃ					
7221	Qeqchi	Mayan	BEGGAR	neb’a’	neb’a’	n e ɓ a ʔ					
9237	Otomi	Otomanguean	BEGGAR	me̲ti (2)	me̲ti	m æ t̪ i					
10871	ImbaburaQuechua	Quechuan	BEGGAR	wajcha	wajcha	w a x tʃ a					
12078	Wichi	Matacoan	BEGGAR	w’aytsaj	w’aytsaj	w ʔ a j ts a x					
1229	Portuguese	Indo-European	BEGIN OR START	começar	começar	k o m e s a ʁ					
2963	Spanish	Indo-European	BEGIN OR START	empezar	empezar	e m p e s a ɾ					
2964	Spanish	Indo-European	BEGIN OR START	comenzar	comenzar	k o m e n s a ɾ					
2965	Spanish	Indo-European	BEGIN OR START	inicio	inicio	i n i s j o					
1067	Portuguese	Indo-European	BEHIND	atrás	atrás	a t ɾ a ʃ					
2793	Spanish	Indo-European	BEHIND	atrás	atrás	a t ɾ a s					
2794	Spanish	Indo-European	BEHIND	detrás	detrás	d ɛ t ɾ a s					
4365	Yaqui	Uto-Aztecan	BEHIND	amapo	amapo	a m a p o					
5717	ZinacantanTzotzil	Mayan	BEHIND	ta pat	ta_pat	t a + p a tʰ					
7253	Qeqchi	Mayan	BEHIND	chi rix	chi_rix	tʃ i + ɾ i ʃ					
9270	Otomi	Otomanguean	BEHIND	ir mo̲te	ir_mo̲te	i r + m ə t̪ e					
9271	Otomi	Otomanguean	BEHIND	jar xu̲tha	jar_xu̲tha	x a r + x u θ a					
10893	ImbaburaQuechua	Quechuan	BEHIND	washa (2)	washa	w a ʃ a					
12101	Wichi	Matacoan	BEHIND	iklafwete	iklafwete	i k l a fʷ e t e					
13373	Mapudungun	Araucanian	BEHIND	furitu	furitu	f u ɻ i t u					
1413	Portuguese	Indo-European	BELIEVE	crer	crer	k ɾ e ʁ					
3162	Spanish	Indo-European	BELIEVE	creer	creer	k ɾ e ɛ ɾ					
4667	Yaqui	Uto-Aztecan	BELIEVE	suale	suale	s u a l e					
5977	ZinacantanTzotzil	Mayan	BELIEVE	ch’un	ch’un	tʃʼ u n					
7667	Qeqchi	Mayan	BELIEVE	paab'ank	paab'ank	p aː ɓ a n kʰ					
9739	Otomi	Otomanguean	BELIEVE	kre	kre	k r e	Spanish	creer			
9740	Otomi	Otomanguean	BELIEVE	'ñeme	'ñeme	ˀɲ e m e					
11143	ImbaburaQuechua	Quechuan	BELIEVE	kriyina	kriyina	k ɾ i j i n a	Spanish	creer			
12360	Wichi	Matacoan	BELIEVE	yeneyche	yeneyche	y e n e j tʃ e					
13627	Mapudungun	Araucanian	BELIEVE	feyentun	feyentun	f e y e n t u n					
1076	Portuguese	Indo-European	BELOW OR UNDER	debaixo	debaixo	d e b ai ʃ u					
2808	Spanish	Indo-European	BELOW OR UNDER	debajo	debajo	d e β a x o					
4371	Yaqui	Uto-Aztecan	BELOW OR UNDER	betuku	betuku	b e t u k u					
7261	Qeqchi	Mayan	BELOW OR UNDER	rub'el	rub'el	r u ɓ e l					
9281	Otomi	Otomanguean	BELOW OR UNDER	nga̲t'i	nga̲t'i	n g ɔ t̪ʼ i					
9282	Otomi	Otomanguean	BELOW OR UNDER	madu̲i	madu̲i	m a d u i					
9283	Otomi	Otomanguean	BELOW OR UNDER	mbo ja	mbo_ja	m b o + x a					
9284	Otomi	Otomanguean	BELOW OR UNDER	madu̲i ja	madu̲i_ja	m a d u i + x a					
10899	ImbaburaQuechua	Quechuan	BELOW OR UNDER	uray (2)	uray	u ɾ a j					
13380	Mapudungun	Araucanian	BELOW OR UNDER	miñche	miñche	m i ɲ tʃ e					
13381	Mapudungun	Araucanian	BELOW OR UNDER	abajo	abajo	a b a j o	Spanish	abajo			
647	Portuguese	Indo-European	BELT	cinto	cinto	s ĩ t u					
2337	Spanish	Indo-European	BELT	cinturón	cinturón	s i n t u ɾ o n					
2338	Spanish	Indo-European	BELT	faja	faja	f a x a					
4020	Yaqui	Uto-Aztecan	BELT	wikosa	wikosa	w i k o s a					
4021	Yaqui	Uto-Aztecan	BELT	toma jisumiam	toma_jisumiam	t o m a + j i s u m i a m					
5426	ZinacantanTzotzil	Mayan	BELT	chuk ch’util	chuk_ch’util	tʃʰ u k + tʃʼ u t i l					
6799	Qeqchi	Mayan	BELT	nimla sinch	nimla_sinch	n i m l a + s i n tʃ					
8681	Otomi	Otomanguean	BELT	bät'i	bät'i	b ɐ t̪ʼ i					
10622	ImbaburaQuechua	Quechuan	BELT	chumbi	chumbi	tʃ u m b i					
11808	Wichi	Matacoan	BELT	tokawak	tokawak	t o k a w a k					
13083	Mapudungun	Araucanian	BELT	trariwe	trariwe	ʈʂ a ɻ i w e					
818	Portuguese	Indo-European	BEND	dobrar	dobrar	d o b ɾ a ʁ					
819	Portuguese	Indo-European	BEND	curvar	curvar	k u ʁ v a ʁ					
2523	Spanish	Indo-European	BEND	encorvar	encorvar	e n k o ɾ β a ɾ					
2524	Spanish	Indo-European	BEND	doblar	doblar	d o β l a ɾ					
4153	Yaqui	Uto-Aztecan	BEND	po’olachaya	po’olachaya	p o ʔ o l a tʃ a j a					
4154	Yaqui	Uto-Aztecan	BEND	po’olacha’atu	po’olacha’atu	p o ʔ o l a tʃ a ʔ a t u					
5534	ZinacantanTzotzil	Mayan	BEND	lu7	lu7	l u ʔ					
6960	Qeqchi	Mayan	BEND	k'unuk	k'unuk	k ʔ u n u kʰ					
6961	Qeqchi	Mayan	BEND	hutzuk	hutzuk	h u t z u kʰ					
6962	Qeqchi	Mayan	BEND	k'onok	k'onok	k ʔ o n o kʰ	Ch’olan	*k’ong			
6963	Qeqchi	Mayan	BEND	lokok	lokok	l o k o kʰ					
6964	Qeqchi	Mayan	BEND	b’asok	b’asok	ɓ a s o kʰ	Ch’olan	*b’as			
6965	Qeqchi	Mayan	BEND	liq'ok	liq'ok	l i qʼ o kʰ					
8877	Otomi	Otomanguean	BEND	tot'i	tot'i	t̪ o t̪ʼ i					
8878	Otomi	Otomanguean	BEND	'bo̲nt'e	'bo̲nt'e	ˀb ə n t̪ʼ e					
8879	Otomi	Otomanguean	BEND	tx'a̲ki	tx'a̲ki	t̪ x ʔ ɔ k i					
8880	Otomi	Otomanguean	BEND	'ba̲t'i	'ba̲t'i	ˀb ɔ t̪ʼ i					
8881	Otomi	Otomanguean	BEND	yuki	yuki	j u k i					
10726	ImbaburaQuechua	Quechuan	BEND	patarina	patarina	p a t a ɾ i n a					
11918	Wichi	Matacoan	BEND	ichujnhathu	ichujnhathu	i tʃ u x n̥ a tʰ u					
13194	Mapudungun	Araucanian	BEND	müchamün	müchamün	m ɨ tʃ a m ɨ n					
