ID	DOCULECT	LANGUAGE_FAMILY	CONCEPT	VALUE	FORM	TOKENS	BORROWED_SCORE	DONOR_LANGUAGE	DONOR_VALUE	SOURCE_LANGUAGE	SOURCE_ID
10143	Wichi	Matacoan	BRAID	ipotsinche	ipotsinche	i p o ts i n tʃ e	0.0				
11415	Mapudungun	Araucanian	BRAID	chape	chape	tʃ a p e	0.0				
918	Spanish	Indo-European	BRAID (VERB) OR WEAVE (BASKET)	tejer	tejer	t e x ɛ ɾ					
919	Spanish	Indo-European	BRAID (VERB) OR WEAVE (BASKET)	trenzar	trenzar	t ɾ e n s a ɾ					
2528	Yaqui	Uto-Aztecan	BRAID (VERB) OR WEAVE (BASKET)	bwassuma	bwassuma	bʷ a s s u m a	0.0				
2529	Yaqui	Uto-Aztecan	BRAID (VERB) OR WEAVE (BASKET)	ji’ika	ji’ika	j i ʔ i k a	0.0				
3904	ZinacantanTzotzil	Mayan	BRAID (VERB) OR WEAVE (BASKET)	hal	hal	h a l	0.0				
5367	Qeqchi	Mayan	BRAID (VERB) OR WEAVE (BASKET)	kemok	kemok	k e m o kʰ	0.0				
7343	Otomi	Otomanguean	BRAID (VERB) OR WEAVE (BASKET)	pe	pe	p e	0.0				
9091	ImbaburaQuechua	Quechuan	BRAID (VERB) OR WEAVE (BASKET)	awana (2)	awana	a w a n a	0.0				
10285	Wichi	Matacoan	BRAID (VERB) OR WEAVE (BASKET)	ipotsinche	ipotsinche	i p o ts i n tʃ e	0.0				
11566	Mapudungun	Araucanian	BRAID (VERB) OR WEAVE (BASKET)	zamin	zamin	z a m i n	0.0				
345	Spanish	Indo-European	BRAIN	cerebro	cerebro	s ɛ ɾ e β ɾ o					
346	Spanish	Indo-European	BRAIN	sesos	sesos	s e s o s					
2058	Yaqui	Uto-Aztecan	BRAIN	o’oream	o’oream	o ʔ o r e a m	0.0				
3475	ZinacantanTzotzil	Mayan	BRAIN	chinamil	chinamil	tʃʰ i n a m i l	0.0				
4791	Qeqchi	Mayan	BRAIN	ulul	ulul	u l u l	0.0				
6645	Otomi	Otomanguean	BRAIN	bont’yo	bont’yo	b o n t̪ʼ j o	0.0				
6646	Otomi	Otomanguean	BRAIN	ñäxumo	ñäxumo	ɲ ɐ x u m o	0.0				
6647	Otomi	Otomanguean	BRAIN	mfeni	mfeni	m f e n i	0.0				
8714	ImbaburaQuechua	Quechuan	BRAIN	ñutuju	ñutuju	ɲ u t u x u	0.0				
9894	Wichi	Matacoan	BRAIN	tokanhe	tokanhe	t o k a n̥ e	0.0				
11166	Mapudungun	Araucanian	BRAIN	müllo	müllo	m ɨ ʎ o	0.0				
795	Spanish	Indo-European	BRANCH OR TWIG	rama	rama	r a m a					
2438	Yaqui	Uto-Aztecan	BRANCH OR TWIG	buja	buja	b u j a	0.0				
3821	ZinacantanTzotzil	Mayan	BRANCH OR TWIG	k’obol	k’obol	kʼ o ɓ o l	0.0				
5238	Qeqchi	Mayan	BRANCH OR TWIG	ruq' che'	ruq'_che'	r u qʼ + tʃ e ʔ	0.0				
7153	Otomi	Otomanguean	BRANCH OR TWIG	‘ye̲zaa	‘ye̲zaa	ˀj æ z aː	0.0				
9020	ImbaburaQuechua	Quechuan	BRANCH OR TWIG	malki	malki	m a l k i	0.0				
10208	Wichi	Matacoan	BRANCH OR TWIG	lhacha	lhacha	lˠ a tʃ a	0.0				
11492	Mapudungun	Araucanian	BRANCH OR TWIG	row	row	ɻ o w	0.0				
1593	Spanish	Indo-European	BRASS INSTRUMENT (HORN OR TRUMPET)	trompeta	trompeta	t ɾ o m p ɛ t a					
1594	Spanish	Indo-European	BRASS INSTRUMENT (HORN OR TRUMPET)	trompa	trompa	t ɾ o m p a					
1595	Spanish	Indo-European	BRASS INSTRUMENT (HORN OR TRUMPET)	corneta	corneta	k o ɾ n ɛ t a					
3078	Yaqui	Uto-Aztecan	BRASS INSTRUMENT (HORN OR TRUMPET)	kusia	kusia	k u s i a	0.0				
4383	ZinacantanTzotzil	Mayan	BRASS INSTRUMENT (HORN OR TRUMPET)	korneta	korneta	k o ɾ n e t a	1.0	Spanish	corneta	Spanish	1595
6087	Qeqchi	Mayan	BRASS INSTRUMENT (HORN OR TRUMPET)	trompeet	trompeet	t ɾ o m p eː tʰ	1.0	Spanish	trompeta	Spanish	1593
8241	Otomi	Otomanguean	BRASS INSTRUMENT (HORN OR TRUMPET)	dätä thu̲xi	dätä_thu̲xi	d ɐ t̪ ɐ + θ u x i	0.0				
8242	Otomi	Otomanguean	BRASS INSTRUMENT (HORN OR TRUMPET)	dätä nthu̲xt'i	dätä_nthu̲xt'i	d ɐ t̪ ɐ + n θ u x t̪ʼ i	0.0				
8243	Otomi	Otomanguean	BRASS INSTRUMENT (HORN OR TRUMPET)	trompeta	trompeta	t̪ r o m p e t̪ a	1.0	Spanish	trompeta	Spanish	1593
9545	ImbaburaQuechua	Quechuan	BRASS INSTRUMENT (HORN OR TRUMPET)	trumpita	trumpita	t ɾ u m b i t a	1.0	Spanish	trompeta	Spanish	1593
10764	Wichi	Matacoan	BRASS INSTRUMENT (HORN OR TRUMPET)	tofwulh	tofwulh	t o fʷ u l̥	0.0				
12029	Mapudungun	Araucanian	BRASS INSTRUMENT (HORN OR TRUMPET)	kullkull	kullkull	k u ʎ k u ʎ	0.0				
1440	Spanish	Indo-European	BRAVE	valiente	valiente	b a l j e n t e					
2957	Yaqui	Uto-Aztecan	BRAVE	emo ouleme	emo_ouleme	e m o + o u l e m e	0.0				
5945	Qeqchi	Mayan	BRAVE	kaw rib'	kaw_rib'	k a w + ɾ i ɓ	0.0				
5946	Qeqchi	Mayan	BRAVE	wankil	wankil	w a n k i l	0.0				
8006	Otomi	Otomanguean	BRAVE	tse̲di	tse̲di	ts æ d i	0.0				
8007	Otomi	Otomanguean	BRAVE	hingi ntsu	hingi_ntsu	h i n g i + n ts u	0.0				
9436	ImbaburaQuechua	Quechuan	BRAVE	jari jari	jari_jari	x a ɾ i + x a ɾ i	0.0				
10653	Wichi	Matacoan	BRAVE	t’enche	t’enche	t ʔ e n tʃ e	0.0				
11922	Mapudungun	Araucanian	BRAVE	füta piwkengen	füta_piwkengen	f ɨ t a + p i w k e ŋ e n	0.0				
11923	Mapudungun	Araucanian	BRAVE	wapo	wapo	w a p o	1.0	Spanish	guapo		
571	Spanish	Indo-European	BREAD	pan	pan	p a n					
2251	Yaqui	Uto-Aztecan	BREAD	paanim	paanim	p aː n i m	1.0	Spanish	pan	Spanish	571
3669	ZinacantanTzotzil	Mayan	BREAD	kashlan 7ot	kashlan_7ot	k a ʃ l a n + ʔ o tʰ	0.0				
3670	ZinacantanTzotzil	Mayan	BREAD	kashlan vah	kashlan_vah	k a ʃ l a n + v a h	0.5				
3671	ZinacantanTzotzil	Mayan	BREAD	pan	pan	pʰ a n	1.0	Spanish	pan	Spanish	571
5034	Qeqchi	Mayan	BREAD	kaxlan wa	kaxlan_wa	k a ʃ l a n + w a	0.0				
6895	Otomi	Otomanguean	BREAD	thuhme	thuhme	θ u h m e	0.0				
8874	ImbaburaQuechua	Quechuan	BREAD	tanda	tanda	t a n d a	0.0				
10059	Wichi	Matacoan	BREAD	pan	pan	p a n	1.0	Spanish	pan	Spanish	571
11338	Mapudungun	Araucanian	BREAD	kofke	kofke	k o f k e	0.0				
11339	Mapudungun	Araucanian	BREAD	pan	pan	p a n	1.0	Spanish	pan	Spanish	571
11340	Mapudungun	Araucanian	BREAD	patay	patay	p a t a y	0.75	Quechua	patay		
862	Spanish	Indo-European	BREAK (DESTROY OR GET DESTROYED)	quebrar	quebrar	k e β ɾ a ɾ					
2488	Yaqui	Uto-Aztecan	BREAK (DESTROY OR GET DESTROYED)	jamte	jamte	j a m t e	0.0				
2489	Yaqui	Uto-Aztecan	BREAK (DESTROY OR GET DESTROYED)	jamta	jamta	j a m t a	0.0				
3869	ZinacantanTzotzil	Mayan	BREAK (DESTROY OR GET DESTROYED)	k’as	k’as	kʼ a s	0.0				
3870	ZinacantanTzotzil	Mayan	BREAK (DESTROY OR GET DESTROYED)	vok’	vok’	v o kʼ	0.0				
5310	Qeqchi	Mayan	BREAK (DESTROY OR GET DESTROYED)	jorok	jorok	x o ɾ o kʰ	0.0				
5311	Qeqchi	Mayan	BREAK (DESTROY OR GET DESTROYED)	much'uk	much'uk	m u tʃʼ u kʰ	0.0				
5312	Qeqchi	Mayan	BREAK (DESTROY OR GET DESTROYED)	toqok	toqok	t o q o kʰ	0.0				
7256	Otomi	Otomanguean	BREAK (DESTROY OR GET DESTROYED)	tehmi	tehmi	t̪ e h m i	0.0				
7257	Otomi	Otomanguean	BREAK (DESTROY OR GET DESTROYED)	'waki	'waki	ˀw a k i	0.0				
9060	ImbaburaQuechua	Quechuan	BREAK (DESTROY OR GET DESTROYED)	fakina	fakina	ɸ a k i n a	0.0				
10251	Wichi	Matacoan	BREAK (DESTROY OR GET DESTROYED)	ichohot	ichohot	i tʃ o h o t	0.0				
11529	Mapudungun	Araucanian	BREAK (DESTROY OR GET DESTROYED)	trafon	trafon	ʈʂ a f o n	0.0				
559	Spanish	Indo-European	BREAKFAST	desayuno	desayuno	d e s a ʝ u n o					
2242	Yaqui	Uto-Aztecan	BREAKFAST	ketwo bwa’ame	ketwo_bwa’ame	k e t w o + bʷ a ʔ a m e	0.0				
3661	ZinacantanTzotzil	Mayan	BREAKFAST	traste	traste	t ɾ a s t e	1.0	Spanish	traste		
5018	Qeqchi	Mayan	BREAKFAST	wa	wa	w a	0.0				
6882	Otomi	Otomanguean	BREAKFAST	zim(u̲)xudi	zim(u̲)xudi	z i m u x u d i	0.0				
8866	ImbaburaQuechua	Quechuan	BREAKFAST	shungunchina	shungunchina	ʃ u ŋ g u n dʒ i n a	0.0				
11332	Mapudungun	Araucanian	BREAKFAST	sayuno	sayuno	s a y u n o	1.0	Spanish	desayuno		
404	Spanish	Indo-European	BREAST	seno	seno	s e n o					
2114	Yaqui	Uto-Aztecan	BREAST	pipim	pipim	p i p i m	0.0				
3534	ZinacantanTzotzil	Mayan	BREAST	chu7il	chu7il	tʃʰ u ʔ i l	0.0				
4853	Qeqchi	Mayan	BREAST	tu’	tu’	t u ʔ	0.0				
6706	Otomi	Otomanguean	BREAST	'ba	'ba	ˀb a	0.0				
8765	ImbaburaQuechua	Quechuan	BREAST	chuchu (1)	chuchu	tʃ u tʃ u	0.0				
9946	Wichi	Matacoan	BREAST	tot’ate	tot’ate	t o t ʔ a t e	0.0				
11218	Mapudungun	Araucanian	BREAST	moyo	moyo	m o y o	0.0				
426	Spanish	Indo-European	BREATH OR BREATHE	respirar	respirar	r ɛ s p i ɾ a ɾ					
427	Spanish	Indo-European	BREATH OR BREATHE	aliento	aliento	a l j e n t o					
740	Spanish	Indo-European	BRICK	ladrillo	ladrillo	l a ð ɾ i ʝ o					
2403	Yaqui	Uto-Aztecan	BRICK	lakrio	lakrio	l a k r i o	1.0	Spanish	ladrillo		
3796	ZinacantanTzotzil	Mayan	BRICK	lagrio	lagrio	l a g ɾ i o	1.0	Spanish	ladrillo		
5194	Qeqchi	Mayan	BRICK	xan	xan	ʃ a n	0.0				
7095	Otomi	Otomanguean	BRICK	ladriyo	ladriyo	l a d r i j o	1.0	Spanish	ladrillo	Spanish	740
8987	ImbaburaQuechua	Quechuan	BRICK	ladrillu	ladrillu	l a d ɾ i ʒ u	1.0	Spanish	ladrillo	Spanish	740
10181	Wichi	Matacoan	BRICK	alulis	alulis	a l u l i s	1.0	Spanish	adobe		
1022	Spanish	Indo-European	BRIDGE	puente	puente	p w e n t e					
2613	Yaqui	Uto-Aztecan	BRIDGE	puentes	puentes	p u e n t e s	1.0	Spanish	puente	Spanish	1022
3982	ZinacantanTzotzil	Mayan	BRIDGE	k’o	k’o	kʼ o	0.0				
3983	ZinacantanTzotzil	Mayan	BRIDGE	ba k’o	ba_k’o	ɓ a + kʼ o	0.0				
5490	Qeqchi	Mayan	BRIDGE	q'a	q'a	qʼ a	0.0				
7491	Otomi	Otomanguean	BRIDGE	'rani	'rani	ˀr a n i	0.0				
9160	ImbaburaQuechua	Quechuan	BRIDGE	chaka	chaka	tʃ a k a	0.0				
10357	Wichi	Matacoan	BRIDGE	pwentu	pwentu	pʷ e n t u	1.0	Spanish	puente	Spanish	1022
11634	Mapudungun	Araucanian	BRIDGE	kuykuy	kuykuy	k u y k u y	0.0				
1364	Spanish	Indo-European	BRIGHT	brillante	brillante	b ɾ i ʝ a n t e					
1365	Spanish	Indo-European	BRIGHT	resplandor	resplandor	r ɛ s p l a n d o ɾ					
2902	Yaqui	Uto-Aztecan	BRIGHT	beojtaachi	beojtaachi	b e o j t aː tʃ i	0.0				
4217	ZinacantanTzotzil	Mayan	BRIGHT	k’ak’al	k’ak’al	kʼ a kʼ a l	0.0				
4218	ZinacantanTzotzil	Mayan	BRIGHT	sak	sak	s a k	0.0				
5860	Qeqchi	Mayan	BRIGHT	lemtz'	lemtz'	l e m tsʼ	0.0				
7916	Otomi	Otomanguean	BRIGHT	njwe̲ti	njwe̲ti	n xʷ æ t̪ i	0.0				
7917	Otomi	Otomanguean	BRIGHT	hats’i	hats’i	h a tsʼ i	0.0				
9384	ImbaburaQuechua	Quechuan	BRIGHT	punchalla	punchalla	p u n dʒ a ʒ a	0.0				
10598	Wichi	Matacoan	BRIGHT	isi	isi	i s i	0.0				
11869	Mapudungun	Araucanian	BRIGHT	wilüf	wilüf	w i l ɨ f	0.0				
1011	Spanish	Indo-European	BRING	traer	traer	t ɾ a ɛ ɾ					
2604	Yaqui	Uto-Aztecan	BRING	nu’upa	nu’upa	n u ʔ u p a	0.0				
3973	ZinacantanTzotzil	Mayan	BRING	7ich’ tal	7ich’_tal	ʔ i tʃʼ + t a l	0.0				
5477	Qeqchi	Mayan	BRING	k'amok	k'amok	k ʔ a m o kʰ	0.0				
7477	Otomi	Otomanguean	BRING	hä (1)	hä	h ɐ	0.0				
9152	ImbaburaQuechua	Quechuan	BRING	apamuna	apamuna	a p a m u n a	0.0				
10349	Wichi	Matacoan	BRING	ichoja	ichoja	i tʃ o x a	0.0				
11628	Mapudungun	Araucanian	BRING	küpalün	küpalün	k ɨ p a l ɨ n	0.0				
863	Spanish	Indo-European	BROKEN	quebrado	quebrado	k e β ɾ a ð o					
907	Spanish	Indo-European	BRONZE OR COPPER	cobre	cobre	k o β ɾ e					
908	Spanish	Indo-European	BRONZE OR COPPER	bronce	bronce	b ɾ o n s e					
888	Spanish	Indo-European	BROOM	escoba	escoba	ɛ s k o β a					
2505	Yaqui	Uto-Aztecan	BROOM	jichikia	jichikia	j i tʃ i k i a	0.0				
3888	ZinacantanTzotzil	Mayan	BROOM	mesehob	mesehob	m e s e h o b	0.0				
5341	Qeqchi	Mayan	BROOM	mesleb'	mesleb'	m e s l e ɓ	0.0				
7299	Otomi	Otomanguean	BROOM	'baxi	'baxi	ˀb a x i	0.0				
9074	ImbaburaQuechua	Quechuan	BROOM	fichana (2)	fichana	ɸ i tʃ a n a	0.0				
10267	Wichi	Matacoan	BROOM	eskuwa	eskuwa	e s k u w a	1.0	Spanish	escoba	Spanish	888
11546	Mapudungun	Araucanian	BROOM	lepüwe	lepüwe	l e p ɨ w e	0.0				
128	Spanish	Indo-European	BROTHER	hermano	hermano	ɛ ɾ m a n o					
1872	Yaqui	Uto-Aztecan	BROTHER	saila	saila	s a i l a	0.0				
1873	Yaqui	Uto-Aztecan	BROTHER	sai	sai	s a i	0.0				
4584	Qeqchi	Mayan	BROTHER	as	as	a s	0.0				
6369	Otomi	Otomanguean	BROTHER	jwädä	jwädä	xʷ ɐ d ɐ	0.0				
6370	Otomi	Otomanguean	BROTHER	ida̲	ida̲	i d ɔ	0.0				
8568	ImbaburaQuechua	Quechuan	BROTHER	wawki	wawki	w a w k i	0.0				
10978	Mapudungun	Araucanian	BROTHER	peñi	peñi	p e ɲ i	0.0				
10979	Mapudungun	Araucanian	BROTHER	wentru lamngen	wentru_lamngen	w e n ʈʂ u + l a m ŋ e n	0.0				
485	Spanish	Indo-European	BRUISE	cardenal	cardenal	k a ɾ ð e n a l					
486	Spanish	Indo-European	BRUISE	magulladura	magulladura	m a ɣ u ʝ a ð u ɾ a					
487	Spanish	Indo-European	BRUISE	contusión	contusión	k o n t u s j o n					
2177	Yaqui	Uto-Aztecan	BRUISE	taako’ei	taako’ei	t aː k o ʔ e i	0.0				
3598	ZinacantanTzotzil	Mayan	BRUISE	lep'	lep'	l e p ʔ	0.0				
4933	Qeqchi	Mayan	BRUISE	raxtint	raxtint	r a ʃ t i n tʰ	0.0				
6782	Otomi	Otomanguean	BRUISE	xut'i	xut'i	x u t̪ʼ i	0.0				
6783	Otomi	Otomanguean	BRUISE	k'e̲t'i	k'e̲t'i	k ʔ æ t̪ʼ i	0.0				
8816	ImbaburaQuechua	Quechuan	BRUISE	raumarishka	raumarishka	ʐ a u m a ɾ i ʃ k a	0.0				
9999	Wichi	Matacoan	BRUISE	hits’etajhi	hits’etajhi	h i ts ʔ e t a xʰ i	0.0				
11272	Mapudungun	Araucanian	BRUISE	allfeñ	allfeñ	a ʎ f e ɲ	0.0				
681	Spanish	Indo-European	BRUSH	cepillo	cepillo	s e p i ʝ o					
2358	Yaqui	Uto-Aztecan	BRUSH	sepio	sepio	s e p i o	1.0	Spanish	cepillo	Spanish	681
5133	Qeqchi	Mayan	BRUSH	sepiiy	sepiiy	s e p iː j	1.0	Spanish	cepillo	Spanish	681
7023	Otomi	Otomanguean	BRUSH	nt'eku̲ñä	nt'eku̲ñä	n t̪ʼ e k u ɲ ɐ	0.0				
7024	Otomi	Otomanguean	BRUSH	nt'eñä	nt'eñä	n t̪ʼ e ɲ ɐ	0.0				
7025	Otomi	Otomanguean	BRUSH	nsu̲t'u̲ts'i	nsu̲t'u̲ts'i	ⁿs u t̪ʼ u tsʼ i	0.0				
7026	Otomi	Otomanguean	BRUSH	nt'ext'u̲ts'i	nt'ext'u̲ts'i	n t̪ʼ e x t̪ʼ u tsʼ i	0.0				
7027	Otomi	Otomanguean	BRUSH	nt'eku̲'bitu	nt'eku̲'bitu	n t̪ʼ e k u ˀb i t̪ u	0.0				
7028	Otomi	Otomanguean	BRUSH	nt'ext'u̲xa̲	nt'ext'u̲xa̲	n t̪ʼ e x t̪ʼ u x ɔ	0.0				
8950	ImbaburaQuechua	Quechuan	BRUSH	sipillu	sipillu	s i p i ʒ u	1.0	Spanish	cepillo	Spanish	681
10142	Wichi	Matacoan	BRUSH	sepiya	sepiya	s e p i j a	1.0	Spanish	cepillo	Spanish	681
891	Spanish	Indo-European	BUILD	edificar	edificar	e ð i f i k a ɾ					
892	Spanish	Indo-European	BUILD	construir	construir	k o n s t ɾ w i ɾ					
2509	Yaqui	Uto-Aztecan	BUILD	kaate (1)	kaate	k aː t e	0.0				
3891	ZinacantanTzotzil	Mayan	BUILD	meltzan	meltzan	m e l tsʰ a n	0.0				
3892	ZinacantanTzotzil	Mayan	BUILD	p’ehan	p’ehan	pʼ e h a n	0.0				
3893	ZinacantanTzotzil	Mayan	BUILD	va7an	va7an	v a ʔ a n	0.0				
5344	Qeqchi	Mayan	BUILD	kab'lank	kab'lank	k a ɓ l a n kʰ	0.0				
7303	Otomi	Otomanguean	BUILD	hoki	hoki	h o k i	0.0				
7304	Otomi	Otomanguean	BUILD	ho̲e (1)	ho̲e	h ə e	0.0				
7305	Otomi	Otomanguean	BUILD	ho̲nguu	ho̲nguu	h ə n g uː	0.0				
9077	ImbaburaQuechua	Quechuan	BUILD	wasichina	wasichina	w a s i tʃ i n a	0.0				
10270	Wichi	Matacoan	BUILD	ipotsin	ipotsin	i p o ts i n	0.0				
11551	Mapudungun	Araucanian	BUILD	zewman	zewman	z e w m a n	0.0				
206	Spanish	Indo-European	BULL	toro	toro	t o ɾ o					
1946	Yaqui	Uto-Aztecan	BULL	too ~ tooro	too	t oː	1.0	Spanish	toro	Spanish	206
3359	ZinacantanTzotzil	Mayan	BULL	toro	toro	t o ɾ o	1.0	Spanish	toro	Spanish	206
3360	ZinacantanTzotzil	Mayan	BULL	vakash	vakash	v a k a sʰ	1.0	Spanish	vaca		
6488	Otomi	Otomanguean	BULL	doro	doro	d o r o	1.0	Spanish	toro	Spanish	206
8623	ImbaburaQuechua	Quechuan	BULL	wagra	wagra	w a g ɾ a	0.0				
9773	Wichi	Matacoan	BULL	tulu asnak	tulu_asnak	t u l u + a s n a k	1.0	Spanish	toro		
11065	Mapudungun	Araucanian	BULL	toro	toro	t o ɻ o	1.0	Spanish	toro	Spanish	206
588	Spanish	Indo-European	BUNCH	racimo	racimo	r a s i m o					
2266	Yaqui	Uto-Aztecan	BUNCH	ibaktia	ibaktia	i b a k t i a	0.0				
2267	Yaqui	Uto-Aztecan	BUNCH	bwijria	bwijria	bʷ i j r i a	0.0				
3690	ZinacantanTzotzil	Mayan	BUNCH	keplej	keplej	k e p l e ħ	0.0				
5054	Qeqchi	Mayan	BUNCH	kuut	kuut	k uː tʰ	0.0				
6915	Otomi	Otomanguean	BUNCH	uba	uba	u b a	1.0	Spanish	uva		
8888	ImbaburaQuechua	Quechuan	BUNCH	mullapa	mullapa	m u ʒ a p a	1.0	Cuzco Quechua	mullaypa		
10074	Wichi	Matacoan	BUNCH	totsanek	totsanek	t o ts a n e k	0.0				
88	Spanish	Indo-European	BURN (SOMETHING)	quemar	quemar	k e m a ɾ					
89	Spanish	Indo-European	BURN (SOMETHING)	quemarse	quemarse	k e m a ɾ s e					
1837	Yaqui	Uto-Aztecan	BURN (SOMETHING)	taya	taya	t a j a	0.0				
3272	ZinacantanTzotzil	Mayan	BURN (SOMETHING)	chik’	chik’	tʃʰ i kʼ	0.0				
4541	Qeqchi	Mayan	BURN (SOMETHING)	k’at	k’at	kʼ a tʰ	0.0				
4542	Qeqchi	Mayan	BURN (SOMETHING)	choqlenk	choqlenk	tʃ o q l e n kʰ	0.0				
6324	Otomi	Otomanguean	BURN (SOMETHING)	tsät'i	tsät'i	ts ɐ t̪ʼ i	0.0				
8538	ImbaburaQuechua	Quechuan	BURN (SOMETHING)	rupachina (1)	rupachina	ʐ u p a tʃ i n a	0.0				
9696	Wichi	Matacoan	BURN (SOMETHING)	hip’u	hip’u	h i p ʔ u	0.0				
10937	Mapudungun	Araucanian	BURN (SOMETHING)	pütren	pütren	p ɨ ʈʂ e n	0.0				
10938	Mapudungun	Araucanian	BURN (SOMETHING)	lüpümün	lüpümün	l ɨ p ɨ m ɨ n	0.75	Quechua	rupa		
90	Spanish	Indo-European	BURNING	arder	arder	a ɾ ð ɛ ɾ					
1838	Yaqui	Uto-Aztecan	BURNING	beete	beete	b eː t e	0.0				
3273	ZinacantanTzotzil	Mayan	BURNING	k’ak’	k’ak’	kʼ a kʼ	0.0				
4543	Qeqchi	Mayan	BURNING	humuk	humuk	h u m u kʰ	0.0				
6325	Otomi	Otomanguean	BURNING	zo̲	zo̲	z ə	0.0				
8539	ImbaburaQuechua	Quechuan	BURNING	rupana	rupana	ʐ u p a n a	0.0				
9697	Wichi	Matacoan	BURNING	lak’e	lak’e	l a k ʔ e	0.0				
10939	Mapudungun	Araucanian	BURNING	üyün	üyün	ɨ y ɨ n	0.0				
467	Spanish	Indo-European	BURY	enterrar	enterrar	e n t ɛ r a ɾ					
468	Spanish	Indo-European	BURY	sepultar	sepultar	s e p u l t a ɾ					
2168	Yaqui	Uto-Aztecan	BURY	maa’a	maa’a	m aː ʔ a	0.0				
3586	ZinacantanTzotzil	Mayan	BURY	but’i	but’i	ɓ u tʼ i	0.0				
3587	ZinacantanTzotzil	Mayan	BURY	muk	muk	m u k	0.0				
3588	ZinacantanTzotzil	Mayan	BURY	tenu	tenu	t e n u	0.0				
4921	Qeqchi	Mayan	BURY	muquk	muquk	m u q u kʰ	0.0				
6769	Otomi	Otomanguean	BURY	'a̲gi	'a̲gi	ʔ ɔ g i	0.0				
8807	ImbaburaQuechua	Quechuan	BURY	pambana	pambana	p a m b a n a	0.0				
9990	Wichi	Matacoan	BURY	iputpe’	iputpe’	i p u t p e ʔ	0.0				
11262	Mapudungun	Araucanian	BURY	elün	elün	e l ɨ n	0.0				
604	Spanish	Indo-European	BUTTER	mantequilla	mantequilla	m a n t e k i ʝ a					
605	Spanish	Indo-European	BUTTER	manteca	manteca	m a n t e k a					
2285	Yaqui	Uto-Aztecan	BUTTER	mantekia	mantekia	m a n t e k i a	1.0	Spanish	mantequilla	Spanish	605
5070	Qeqchi	Mayan	BUTTER	manteek	manteek	m a n t eː kʰ	1.0	Spanish	manteca	Spanish	605
6932	Otomi	Otomanguean	BUTTER	mäntekiya	mäntekiya	m ɐ n t̪ e k i j a	1.0	Spanish	mantequilla	Spanish	604
6933	Otomi	Otomanguean	BUTTER	nde̲ga	nde̲ga	n d æ g a	1.0	Spanish	mantega	Spanish	605
8902	ImbaburaQuechua	Quechuan	BUTTER	vira	vira	β i ɾ a	0.0				
10087	Wichi	Matacoan	BUTTER	manteka	manteka	m a n t e k a	1.0	Spanish	manteca	Spanish	605
312	Spanish	Indo-European	BUTTERFLY	mariposa	mariposa	m a ɾ i p o s a					
2031	Yaqui	Uto-Aztecan	BUTTERFLY	baise’eboli	baise’eboli	b a i s e ʔ e b o l i	0.0				
3439	ZinacantanTzotzil	Mayan	BUTTERFLY	pepen	pepen	pʰ e p e n	0.0				
4760	Qeqchi	Mayan	BUTTERFLY	peepem	peepem	p eː p e m	0.0				
6614	Otomi	Otomanguean	BUTTERFLY	tu̲xu̲mu	tu̲xu̲mu	t̪ u x u m u	0.0				
8689	ImbaburaQuechua	Quechuan	BUTTERFLY	pinpillitu	pinpillitu	p i m b i ʒ i t u	0.0				
9867	Wichi	Matacoan	BUTTERFLY	chukuk	chukuk	tʃ u k u k	0.0				
11135	Mapudungun	Araucanian	BUTTERFLY	llampüzkeñ	llampüzkeñ	ʎ a m p ɨ z k e ɲ	0.0				
11136	Mapudungun	Araucanian	BUTTERFLY	tonton	tonton	t o n t o n	0.0				
11137	Mapudungun	Araucanian	BUTTERFLY	kululu	kululu	k u l u l u	1.0	Gününa Yajüch	kululu		
420	Spanish	Indo-European	BUTTOCKS	nalgas	nalgas	n a l ɣ a s					
421	Spanish	Indo-European	BUTTOCKS	trasero	trasero	t ɾ a s ɛ ɾ o					
2129	Yaqui	Uto-Aztecan	BUTTOCKS	chobe	chobe	tʃ o b e	0.0				
3548	ZinacantanTzotzil	Mayan	BUTTOCKS	chakil	chakil	tʃʰ a k i l	0.0				
3549	ZinacantanTzotzil	Mayan	BUTTOCKS	likav chakil	likav_chakil	l i k a v + tʃʰ a k i l	0.0				
3550	ZinacantanTzotzil	Mayan	BUTTOCKS	pech chakil	pech_chakil	pʰ e tʃʰ + tʃʰ a k i l	0.0				
4868	Qeqchi	Mayan	BUTTOCKS	ko it	ko_it	k o + i tʰ	0.0				
6723	Otomi	Otomanguean	BUTTOCKS	nthudi	nthudi	n θ u d i	0.0				
6724	Otomi	Otomanguean	BUTTOCKS	xiji	xiji	x i x i	0.0				
6725	Otomi	Otomanguean	BUTTOCKS	hñamfo	hñamfo	h ɲ a m f o	0.0				
8777	ImbaburaQuechua	Quechuan	BUTTOCKS	siki	siki	s i k i	0.0				
9959	Wichi	Matacoan	BUTTOCKS	towejch’alus	towejch’alus	t o w e x tʃ ʔ a l u s	0.0				
11231	Mapudungun	Araucanian	BUTTOCKS	anüwe	anüwe	a n ɨ w e	0.0				
659	Spanish	Indo-European	BUTTON	botón	botón	b o t o n					
2344	Yaqui	Uto-Aztecan	BUTTON	booton	booton	b oː t o n	1.0	Spanish	botón	Spanish	659
3745	ZinacantanTzotzil	Mayan	BUTTON	boton	boton	ɓ o t o n	1.0	Spanish	boto*n	Spanish	659
