ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	DONOR_LANGUAGE	SOURCE_LANGUAGE	SOURCE_VALUE	SOURCE_ID
5640	ZinacantanTzotzil	CLIMB	muy	muy	m u j				
7127	Qeqchi	CLIMB	lochte’ek	lochte’ek	l o tʃ t e ʔ e kʰ				
7128	Qeqchi	CLIMB	taqe’k	taqe’k	t a q e ʔ kʰ				
9120	Otomi	CLIMB	po̲ts'e	po̲ts'e	p ə tsʼ e				
9121	Otomi	CLIMB	tets'e	tets'e	t̪ e tsʼ e				
10817	ImbaburaQuechua	CLIMB	bitsijana	bitsijana	b i ts i x a n a				
12013	Wichi	CLIMB	taw’elhu	taw’elhu	t a w ʔ e lˠ u				
13294	Mapudungun	CLIMB	püran	püran	p ɨ ɻ a n				
627	Portuguese	CLOAK	capa	capa	k a p ɐ				
628	Portuguese	CLOAK	manto	manto	m ɐ̃ t u				
2317	Spanish	CLOAK	capa	capa	k a p a				
2318	Spanish	CLOAK	manta	manta	m a n t a				
3999	Yaqui	CLOAK	jiniam	jiniam	j i n i a m				
4000	Yaqui	CLOAK	bepa’aria	bepa’aria	b e p a ʔ a r i a				
8654	Otomi	CLOAK	majwi	majwi	m a xʷ i				
11793	Wichi	CLOAK	towhup’ut	towhup’ut	t o w̥ u p ʔ u t				
13069	Mapudungun	CLOAK	ükülla	ükülla	ɨ k ɨ ʎ a	Quechua			
1262	Portuguese	CLOCK	relógio	relógio	ʁ e l ɔ ʒ j u				
3001	Spanish	CLOCK	reloj	reloj	r e l o x				
4548	Yaqui	CLOCK	relok	relok	r e l o k	Spanish			
5868	ZinacantanTzotzil	CLOCK	reloho	reloho	ɾ e l o h o	Spanish			
7500	Qeqchi	CLOCK	reloj	reloj	r e l o x	Spanish	Spanish	r e l o x	3001
9534	Otomi	CLOCK	ora	ora	o r a	Spanish			
11032	ImbaburaQuechua	CLOCK	riluju	riluju	ʐ i l u x u	Spanish			
12245	Wichi	CLOCK	tokafwala	tokafwala	t o k a fʷ a l a				
12246	Wichi	CLOCK	tokwe’fwat	tokwe’fwat	t o kʷ e ʔ fʷ a t				
13524	Mapudungun	CLOCK	relo	relo	ɻ e l o	Spanish			
607	Portuguese	CLOTH	tecido	tecido	t e s i d u				
608	Portuguese	CLOTH	pano	pano	p ɐ n u				
2299	Spanish	CLOTH	tela	tela	t e l a				
3981	Yaqui	CLOTH	teela	teela	t eː l a	Spanish			
6764	Qeqchi	CLOTH	t’ikr	t’ikr	tʼ i k r				
8633	Otomi	CLOTH	'bitu	'bitu	ˀb i t̪ u				
10595	ImbaburaQuechua	CLOTH	facha	facha	ɸ a tʃ a				
11780	Wichi	CLOTH	sak’al	sak’al	s a k ʔ a l				
13055	Mapudungun	CLOTH	pañu	pañu	p a ɲ u	Spanish			
605	Portuguese	CLOTHES	roupa	roupa	ʁ o p ɐ				
2297	Spanish	CLOTHES	ropa	ropa	r o p a				
3979	Yaqui	CLOTHES	tajo’ori	tajo’ori	t a j o ʔ o r i				
5397	ZinacantanTzotzil	CLOTHES	k’u7il	k’u7il	kʼ u ʔ i l				
5398	ZinacantanTzotzil	CLOTHES	pok’	pok’	pʰ o kʼ				
6762	Qeqchi	CLOTHES	tiqb'al	tiqb'al	t i q ɓ a l				
8630	Otomi	CLOTHES	'bitu	'bitu	ˀb i t̪ u				
10594	ImbaburaQuechua	CLOTHES	churajuna (2)	churajuna	tʃ u ɾ a x u n a				
11778	Wichi	CLOTHES	tow’ey	tow’ey	t o w ʔ e j				
13054	Mapudungun	CLOTHES	takuluwün	takuluwün	t a k u l u w ɨ n				
78	Portuguese	CLOUD	nuvem	nuvem	n u v ẽĩ				
1759	Spanish	CLOUD	nube	nube	n u β e				
3509	Yaqui	CLOUD	naamu	naamu	n aː m u				
4946	ZinacantanTzotzil	CLOUD	tok	tok	t o k				
6212	Qeqchi	CLOUD	choq	choq	tʃ o qʰ	Greater Tzeltalan			
7995	Otomi	CLOUD	gui	gui	g u i				
10211	ImbaburaQuechua	CLOUD	fuyu	fuyu	ɸ u j u	Cuzco Quechua			
11369	Wichi	CLOUD	pele	pele	p e l e				
12608	Mapudungun	CLOUD	tromü	tromü	ʈʂ o m ɨ				
1574	Portuguese	CLUB	porrete	porrete	p o ʁ ɛ tʃ i				
1575	Portuguese	CLUB	cacete	cacete	k a s ɛ tʃ i				
3343	Spanish	CLUB	macana	macana	m a k a n a				
3344	Spanish	CLUB	garrote	garrote	g a r o t e				
4804	Yaqui	CLUB	kuta	kuta	k u t a				
10009	Otomi	CLUB	mäkänä	mäkänä	m ɐ k ɐ n ɐ				
10010	Otomi	CLUB	zaa 'mat'i	zaa_'mat'i	z aː + ˀm a t̪ʼ i				
10011	Otomi	CLUB	däkuzaa	däkuzaa	d ɐ k u z aː				
11262	ImbaburaQuechua	CLUB	kaspi	kaspi	k a s p i				
12486	Wichi	CLUB	tot’ajnhat	tot’ajnhat	t o t ʔ a x n̥ a t				
12487	Wichi	CLUB	lach’e	lach’e	l a tʃ ʔ e				
13741	Mapudungun	CLUB	karoti	karoti	k a ɻ o t i	Spanish			
632	Portuguese	COAT	casaco	casaco	k a z a k u				
2322	Spanish	COAT	abrigo	abrigo	a β ɾ i ɣ o				
2323	Spanish	COAT	saco	saco	s a k o				
4004	Yaqui	COAT	suka supem	suka_supem	s u k a + s u p e m				
4005	Yaqui	COAT	saakom	saakom	s aː k o m	Spanish			
6786	Qeqchi	COAT	koton	koton	k o t o n	Spanish			
8661	Otomi	COAT	däx’yo	däx’yo	d ɐ x ʔ j o				
8662	Otomi	COAT	thoxo	thoxo	θ o x o				
10613	ImbaburaQuechua	COAT	shwiter	shwiter	ʃ w i t e ɾ	Spanish			
11797	Wichi	COAT	fwiy’etcha	fwiy’etcha	fʷ i j ʔ e t tʃ a				
13073	Mapudungun	COAT	abrigo	abrigo	a b ɻ i ɰ o	Spanish			
284	Portuguese	COCKROACH	barata	barata	b a ɾ a t ɐ				
1979	Spanish	COCKROACH	cucaracha	cucaracha	k u k a ɾ a tʃ a				
3695	Yaqui	COCKROACH	kuka	kuka	k u k a	Spanish			
5104	ZinacantanTzotzil	COCKROACH	mako7	mako7	m a k o ʔ				
6413	Qeqchi	COCKROACH	paachach	paachach	p aː tʃ a tʃ	Ch’orti’			
8276	Otomi	COCKROACH	zu'we ts'othe	zu'we_ts'othe	z u ˀw e + tsʼ o θ e				
11523	Wichi	COCKROACH	nafwuluj	nafwuluj	n a fʷ u l u x				
801	Portuguese	COCONUT	coco	coco	k ɔ k u				
2501	Spanish	COCONUT	coco	coco	k o k o				
4139	Yaqui	COCONUT	kooko	kooko	k oː k o	Spanish			
5521	ZinacantanTzotzil	COCONUT	koko	koko	k o k o	Spanish	Spanish	k o k o	2501
6945	Qeqchi	COCONUT	kook	kook	k oː kʰ	Spanish			
8861	Otomi	COCONUT	koko	koko	k o k o	Spanish	Spanish	k o k o	2501
10716	ImbaburaQuechua	COCONUT	koku	koku	k o k u	Spanish			
1038	Portuguese	COIN	moeda	moeda	m o ɛ d ɐ				
2759	Spanish	COIN	moneda	moneda	m o n e ð a				
4338	Yaqui	COIN	tomi	tomi	t o m i	Arabic (Hispanic)			
5691	ZinacantanTzotzil	COIN	`antivo tak'in	`antivo_tak'in	ʔ a n t i v o + t a k ʔ i n	Spanish			
7215	Qeqchi	COIN	kok' tumin	kok'_tumin	k o kʼ + t u m i n				
9233	Otomi	COIN	bojä (1)	bojä	b o x ɐ				
9234	Otomi	COIN	bojä bojä	bojä_bojä	b o x ɐ + b o x ɐ				
10868	ImbaburaQuechua	COIN	kulki	kulki	k u l k i				
12074	Wichi	COIN	munelu	munelu	m u n e l u	Spanish			
13347	Mapudungun	COIN	peso	peso	p e s o	Spanish			
13348	Mapudungun	COIN	chawcha	chawcha	tʃ a w tʃ a	Quechua			
1339	Portuguese	COLD	frio	frio	f ɾ j ɔ				
3080	Spanish	COLD	frío	frío	f ɾ i o				
4611	Yaqui	COLD	sebe	sebe	s e b e				
5927	ZinacantanTzotzil	COLD	sik	sik	s i k				
7590	Qeqchi	COLD	ke	ke	k e				
9644	Otomi	COLD	xi ntse̲	xi_ntse̲	x i + n ts æ				
11092	ImbaburaQuechua	COLD	chiri	chiri	tʃ i ɾ i				
12306	Wichi	COLD	nitechojche	nitechojche	n i t e tʃ o x tʃ e				
12307	Wichi	COLD	nitechojhi	nitechojhi	n i t e tʃ o xʰ i				
12308	Wichi	COLD	nitechojlhi	nitechojlhi	n i t e tʃ o x lˠ i				
13575	Mapudungun	COLD	wütre	wütre	w ɨ ʈʂ e				
13576	Mapudungun	COLD	fürkü	fürkü	f ɨ ɻ k ɨ				
634	Portuguese	COLLAR	colarinho	colarinho	k o l a ɾ i ɲ u				
2325	Spanish	COLLAR	cuello	cuello	k w e ʝ o				
4007	Yaqui	COLLAR	kutana	kutana	k u t a n a				
4008	Yaqui	COLLAR	kueyo	kueyo	k u e j o	Spanish			
5420	ZinacantanTzotzil	COLLAR	nuk’il	nuk’il	n u kʼ i l				
6788	Qeqchi	COLLAR	kux aaq’	kux_aaq’	k u ʃ + aː qʼ				
6789	Qeqchi	COLLAR	q’ol	q’ol	q ʔ o l				
8665	Otomi	COLLAR	'yu̲ga̲	'yu̲ga̲	ˀj u g ɔ				
10615	ImbaburaQuechua	COLLAR	walka	walka	w a l k a				
11799	Wichi	COLLAR	tolhamis	tolhamis	t o lˠ a m i s				
13075	Mapudungun	COLLAR	kwellu	kwellu	k w e ʎ u	Spanish			
366	Portuguese	COLLARBONE	clavícula	clavícula	k l a v i k u l ɐ				
2062	Spanish	COLLARBONE	clavícula	clavícula	k l a β i k u l a				
3773	Yaqui	COLLARBONE	tau ota	tau_ota	t a u + o t a				
5187	ZinacantanTzotzil	COLLARBONE	7ual bakel	7ual_bakel	ʔ u a l + ɓ a k e l				
8363	Otomi	COLLARBONE	ndo'yo tiñä	ndo'yo_tiñä	n d o ˀj o + t̪ i ɲ ɐ				
10426	ImbaburaQuechua	COLLARBONE	pillischaka	pillischaka	p i ʒ i s tʃ a k a				
11606	Wichi	COLLARBONE	towhulh	towhulh	t o w̥ u l̥				
1308	Portuguese	COLOR	cor	cor	k ɔ ʁ				
3049	Spanish	COLOR	color	color	k o l o ɾ				
4586	Yaqui	COLOR	jiyoki	jiyoki	j i j o k i				
4587	Yaqui	COLOR	yokia	yokia	j o k i a				
5902	ZinacantanTzotzil	COLOR	bon	bon	ɓ o n				
9601	Otomi	COLOR	kolor	kolor	k o l o r	Spanish			
9602	Otomi	COLOR	njät'i	njät'i	n x ɐ t̪ʼ i				
11068	ImbaburaQuechua	COLOR	kulur	kulur	k u l u ɾ	Spanish			
668	Portuguese	COMB	pente	pente	p ẽ tʃ i				
2363	Spanish	COMB	peine	peine	p e i n e				
4040	Yaqui	COMB	chichikia	chichikia	tʃ i tʃ i k i a				
5434	ZinacantanTzotzil	COMB	hach’ubil	hach’ubil	h a tʃʼ u ɓ i l				
6815	Qeqchi	COMB	xiyab'	xiyab'	ʃ i j a ɓ				
8703	Otomi	COMB	nsani (1)	nsani	ⁿs a n i				
8704	Otomi	COMB	t'eku̲ñä	t'eku̲ñä	t̪ʼ e k u ɲ ɐ				
8705	Otomi	COMB	nt'eñä	nt'eñä	n t̪ʼ e ɲ ɐ				
10632	ImbaburaQuechua	COMB	ñajcha	ñajcha	ɲ a x tʃ a				
11824	Wichi	COMB	tsunis	tsunis	ts u n i s				
13096	Mapudungun	COMB	rünatuwe	rünatuwe	ɻ ɨ n a t u w e				
13097	Mapudungun	COMB	peine	peine	p e i n e	Spanish	Spanish	p e i n e	2363
957	Portuguese	COME	vir	vir	v i ʁ				
2672	Spanish	COME	venir	venir	b e n i ɾ				
4271	Yaqui	COME	a’abo weye	a’abo_weye	a ʔ a b o + w e j e				
5643	ZinacantanTzotzil	COME	tal	tal	t a l				
7131	Qeqchi	COME	chalk	chalk	tʃ a l kʰ				
7132	Qeqchi	COME	k'ulunk	k'ulunk	k ʔ u l u n kʰ				
9124	Otomi	COME	ehe (1)	ehe	e h e				
10820	ImbaburaQuechua	COME	shamuna	shamuna	ʃ a m u n a				
12016	Wichi	COME	nom	nom	n o m				
13297	Mapudungun	COME	küpan	küpan	k ɨ p a n				
958	Portuguese	COME BACK	voltar	voltar	v ɔu t a ʁ				
959	Portuguese	COME BACK	regressar	regressar	ʁ e ɡ ɾ e s a ʁ				
2673	Spanish	COME BACK	volver	volver	b o l β ɛ ɾ				
2674	Spanish	COME BACK	regresar	regresar	r e ɣ ɾ e s a ɾ				
4272	Yaqui	COME BACK	notte	notte	n o t t e				
5644	ZinacantanTzotzil	COME BACK	sut	sut	s u tʰ				
7133	Qeqchi	COME BACK	q'ajk	q'ajk	qʼ a x kʰ				
7134	Qeqchi	COME BACK	suq'iik	suq'iik	s u qʼ iː kʰ				
9125	Otomi	COME BACK	kots’i	kots’i	k o tsʼ i				
10821	ImbaburaQuechua	COME BACK	tigrana	tigrana	t i g ɾ a n a				
12017	Wichi	COME BACK	tapilh	tapilh	t a p i l̥				
12018	Wichi	COME BACK	yopilh	yopilh	y o p i l̥				
13298	Mapudungun	COME BACK	wiñon	wiñon	w i ɲ o n				
1542	Portuguese	COMMAND	mandar	mandar	m ɐ̃ d a ʁ				
1543	Portuguese	COMMAND	dar ordem	dar_ordem	d a ʁ + ɔ ʁ d ẽĩ				
3309	Spanish	COMMAND	mandar	mandar	m a n d a ɾ				
3310	Spanish	COMMAND	ordenar	ordenar	o ɾ ð e n a ɾ				
4780	Yaqui	COMMAND	sawe	sawe	s a w e				
6074	ZinacantanTzotzil	COMMAND	tak’i	tak’i	t a kʼ i				
7791	Qeqchi	COMMAND	taqlank	taqlank	t a q l a n kʰ				
9968	Otomi	COMMAND	‘be̲pi	‘be̲pi	ˀb æ p i				
9969	Otomi	COMMAND	pe̲hni	pe̲hni	p æ h n i				
9970	Otomi	COMMAND	mända	mända	m ɐ n d a	Spanish			
11244	ImbaburaQuechua	COMMAND	kachana (2)	kachana	k a tʃ a n a				
12467	Wichi	COMMAND	icheta	icheta	i tʃ e t a				
13722	Mapudungun	COMMAND	werkün	werkün	w e ɻ k ɨ n				
469	Portuguese	COMMON COLD (DISEASE)	resfriado	resfriado	ʁ e ʃ f ɾ i a d u				
470	Portuguese	COMMON COLD (DISEASE)	gripe	gripe	ɡ ɾ i p i				
2164	Spanish	COMMON COLD (DISEASE)	catarro	catarro	k a t a r o				
2165	Spanish	COMMON COLD (DISEASE)	resfriado	resfriado	r ɛ s f ɾ j a ð o				
3858	Yaqui	COMMON COLD (DISEASE)	chomko’okoa	chomko’okoa	tʃ o m k o ʔ o k o a				
5279	ZinacantanTzotzil	COMMON COLD (DISEASE)	simil 7obal	simil_7obal	s i m i l + ʔ o ɓ a l				
6612	Qeqchi	COMMON COLD (DISEASE)	jolomb'ej	jolomb'ej	x o l o m ɓ e x				
6613	Qeqchi	COMMON COLD (DISEASE)	oj	oj	o x				
8461	Otomi	COMMON COLD (DISEASE)	nthuñu	nthuñu	n θ u ɲ u				
8462	Otomi	COMMON COLD (DISEASE)	thehe	thehe	θ e h e				
10497	ImbaburaQuechua	COMMON COLD (DISEASE)	rumas	rumas	ʐ u m a s	Spanish			
11680	Wichi	COMMON COLD (DISEASE)	chelhtaj	chelhtaj	tʃ e lˠ t a x				
12952	Mapudungun	COMMON COLD (DISEASE)	chafo	chafo	tʃ a f o				
12953	Mapudungun	COMMON COLD (DISEASE)	rüle	rüle	ɻ ɨ l e				
444	Portuguese	CONCEIVE	conceber	conceber	k õ s e b e ʁ				
2141	Spanish	CONCEIVE	concebir	concebir	k o n s e β i ɾ				
3847	Yaqui	CONCEIVE	yeu nu’upa	yeu_nu’upa	j e u + n u ʔ u p a				
5265	ZinacantanTzotzil	CONCEIVE	tz’anesbe	tz’anesbe	tsʼ a n e s ɓ e				
6601	Qeqchi	CONCEIVE	kanaak sa’ yu’am	kanaak_sa’_yu’am	k a n aː k + s a ʔ + j u ʔ a m				
10487	ImbaburaQuechua	CONCEIVE	wawachina	wawachina	w a w a tʃ i n a				
11670	Wichi	CONCEIVE	iwulhosa	iwulhosa	i w u lˠ o s a				
12942	Mapudungun	CONCEIVE	nien	nien	n i e n				
1636	Portuguese	CONDEMN	condenar	condenar	k õ d e n a ʁ				
3401	Spanish	CONDEMN	condenar	condenar	k o n d e n a ɾ				
4846	Yaqui	CONDEMN	konrenaroa	konrenaroa	k o n r e n a r o a	Spanish			
7875	Qeqchi	CONDEMN	tz’aqtaanank	tz’aqtaanank	tsʼ a q t aː n a n kʰ				
7876	Qeqchi	CONDEMN	raqok aatin	raqok_aatin	r a q o k + aː t i n				
10099	Otomi	CONDEMN	tsatu'ñu	tsatu'ñu	ts a t̪ u ˀɲ u				
1637	Portuguese	CONVICT	sentenciar	sentenciar	s ẽ t ẽ s i a ʁ				
1638	Portuguese	CONVICT	condenar	condenar	k õ d e n a ʁ				
3402	Spanish	CONVICT	inculpar	inculpar	i n k u l p a ɾ				
3403	Spanish	CONVICT	condenar	condenar	k o n d e n a ɾ				
4847	Yaqui	CONVICT	konrenaroa	konrenaroa	k o n r e n a r o a	Spanish			
7877	Qeqchi	CONVICT	teneb’ankil sa’ xb’een	teneb’ankil_sa’_xb’een	t e n e ɓ a n k i l + s a ʔ + ʃ ɓ eː n				
7878	Qeqchi	CONVICT	raqok aatin chi rix	raqok_aatin_chi_rix	r a q o k + aː t i n + tʃ i + ɾ i ʃ				
10100	Otomi	CONVICT	tsatu'ñu	tsatu'ñu	ts a t̪ u ˀɲ u				
10101	Otomi	CONVICT	hoxuthai	hoxuthai	h o x u θ a i				
11290	ImbaburaQuechua	CONVICT	juchachina (2)	juchachina	x u tʃ a tʃ i n a				
13767	Mapudungun	CONVICT	kulpatun	kulpatun	k u l p a t u n	Spanish			
521	Portuguese	COOK (SOMETHING)	cozinhar	cozinhar	k o z i ɲ a ʁ				
2218	Spanish	COOK (SOMETHING)	cocinar	cocinar	k o s i n a ɾ				
3902	Yaqui	COOK (SOMETHING)	kisaroa	kisaroa	k i s a r o a	Spanish			
3903	Yaqui	COOK (SOMETHING)	bwasa	bwasa	bʷ a s a				
5324	ZinacantanTzotzil	COOK (SOMETHING)	ta7ahes	ta7ahes	t a ʔ a h e s				
6676	Qeqchi	COOK (SOMETHING)	chiqok	chiqok	tʃ i q o kʰ				
8533	Otomi	COOK (SOMETHING)	ja tä	ja_tä	x a + t̪ ɐ				
8534	Otomi	COOK (SOMETHING)	hoku̲hñuni	hoku̲hñuni	h o k u h ɲ u n i				
10532	ImbaburaQuechua	COOK (SOMETHING)	yanuna	yanuna	j a n u n a				
11719	Wichi	COOK (SOMETHING)	ipen	ipen	i p e n				
12992	Mapudungun	COOK (SOMETHING)	afümiyaelün	afümiyaelün	a f ɨ m i y a e l ɨ n				
502	Portuguese	COOKED	cozinhado	cozinhado	k o z i ɲ a d u				
503	Portuguese	COOKED	cozido	cozido	k o z i d u				
2201	Spanish	COOKED	cocido	cocido	k o s i ð o				
2202	Spanish	COOKED	cocinado	cocinado	k o s i n a ð o				
3890	Yaqui	COOKED	bwasa’i	bwasa’i	bʷ a s a ʔ i				
5311	ZinacantanTzotzil	COOKED	tok’on	tok’on	t o kʼ o n				
6657	Qeqchi	COOKED	k'uub'aak	k'uub'aak	k ʔ uː ɓ aː kʰ				
6658	Qeqchi	COOKED	k'ub'k'u	k'ub'k'u	k ʔ u ɓ kʼ u				
6659	Qeqchi	COOKED	chaq'	chaq'	tʃ a qʼ				
8511	Otomi	COOKED	ndä (1)	ndä	n d ɐ				
10521	ImbaburaQuechua	COOKED	yanushka	yanushka	j a n u ʃ k a				
11708	Wichi	COOKED	y’u	y’u	y ʔ u				
12982	Mapudungun	COOKED	afün	afün	a f ɨ n				
685	Portuguese	COOKHOUSE	cozinha	cozinha	k o z i ɲ ɐ				
2382	Spanish	COOKHOUSE	cocina	cocina	k o s i n a				
4053	Yaqui	COOKHOUSE	kosina	kosina	k o s i n a	Spanish	Spanish	k o s i n a	2382
5445	ZinacantanTzotzil	COOKHOUSE	kusina	kusina	k u s i n a	Spanish	Spanish	k o s i n a	2382
6830	Qeqchi	COOKHOUSE	k'uub'leb'aal	k'uub'leb'aal	k ʔ uː ɓ l e ɓ aː l				
6831	Qeqchi	COOKHOUSE	xna'aj xam	xna'aj_xam	ʃ n a ʔ a x + ʃ a m				
8727	Otomi	COOKHOUSE	nthoku̲nts'i	nthoku̲nts'i	n θ o k u n tsʼ i				
8728	Otomi	COOKHOUSE	nthoku̲hñuni	nthoku̲hñuni	n θ o k u h ɲ u n i				
8729	Otomi	COOKHOUSE	nthoku̲komida	nthoku̲komida	n θ o k u k o m i d a	Spanish			
10644	ImbaburaQuechua	COOKHOUSE	yanuna uku	yanuna_uku	j a n u n a + u k u				
11837	Wichi	COOKHOUSE	tolhatajw’et	tolhatajw’et	t o lˠ a t a xʷ ʔ e t				
528	Portuguese	COOKING POT	panela	panela	p ɐ n ɛ l ɐ				
2224	Spanish	COOKING POT	olla	olla	o ʝ a				
435	Portuguese	COPULATE	ter relações sexuais	ter_relações_sexuais	t e ʁ + ʁ e l a s õĩ ʃ + s e k s u ai ʃ				
2133	Spanish	COPULATE	tener relaciones sexuales	tener_relaciones_sexuales	t e n ɛ ɾ + r e l a s j o n e s + s ɛ k s w a l e s				
3838	Yaqui	COPULATE	nau to’ote	nau_to’ote	n a u + t o ʔ o t e				
3839	Yaqui	COPULATE	soa	soa	s o a				
5260	ZinacantanTzotzil	COPULATE	pas mul	pas_mul	pʰ a s + m u l				
5261	ZinacantanTzotzil	COPULATE	7ik’ baik	7ik’_baik	ʔ i kʼ + ɓ a i k				
6592	Qeqchi	COPULATE	aatinank	aatinank	aː t i n a n kʰ				
8437	Otomi	COPULATE	kui	kui	k u i				
8438	Otomi	COPULATE	heki	heki	h e k i				
8439	Otomi	COPULATE	hñuxui	hñuxui	h ɲ u x u i				
10481	ImbaburaQuechua	COPULATE	yumana	yumana	j u m a n a				
11662	Wichi	COPULATE	wanhen	wanhen	w a n̥ e n				
12935	Mapudungun	COPULATE	kuretun	kuretun	k u ɻ e t u n				
1151	Portuguese	CORNER	esquina	esquina	i s k i n ɐ				
1152	Portuguese	CORNER	canto	canto	k ɐ̃ t u				
2884	Spanish	CORNER	esquina	esquina	ɛ s k i n a				
2885	Spanish	CORNER	rincón	rincón	r i n k o n				
4434	Yaqui	CORNER	kobi’iria	kobi’iria	k o b i ʔ i r i a				
4435	Yaqui	CORNER	ejkiina	ejkiina	e j k iː n a	Spanish			
5784	ZinacantanTzotzil	CORNER	xuk'av	xuk'av	ʃ u k ʔ a v				
7366	Qeqchi	CORNER	xuk	xuk	ʃ u kʰ	Ch’olan			
7367	Qeqchi	CORNER	loot'	loot'	l oː tʼ				
9386	Otomi	CORNER	ts'ät'i	ts'ät'i	ts ʔ ɐ t̪ʼ i				
10952	ImbaburaQuechua	CORNER	kuchu	kuchu	k u tʃ u				
12170	Wichi	CORNER	latshelho’	latshelho’	l a tsʰ e lˠ o ʔ				
13438	Mapudungun	CORNER	ngüyon	ngüyon	ŋ ɨ y o n				
453	Portuguese	CORPSE	cadáver	cadáver	k a d a v e ʁ				
2149	Spanish	CORPSE	cadáver	cadáver	k a ð a β ɛ ɾ				
3850	Yaqui	CORPSE	mukila	mukila	m u k i l a				
6603	Qeqchi	CORPSE	kamenaq	kamenaq	k a m e n a qʰ				
8451	Otomi	CORPSE	animä	animä	a n i m ɐ	Spanish			
10489	ImbaburaQuechua	CORPSE	wañushka	wañushka	w a ɲ u ʃ k a				
11672	Wichi	CORPSE	top’itsek	top’itsek	t o p ʔ i ts e k				
12944	Mapudungun	CORPSE	ḻa	ḻa	l̪ a				
1395	Portuguese	CORRECT (RIGHT)	correto	correto	k o ʁ ɛ t u				
3139	Spanish	CORRECT (RIGHT)	correcto	correcto	k o r e k t o				
4652	Yaqui	CORRECT (RIGHT)	tu’i	tu’i	t u ʔ i				
7649	Qeqchi	CORRECT (RIGHT)	q'axal chaab'il	q'axal_chaab'il	qʼ a ʃ a l + tʃ aː ɓ i l				
9711	Otomi	CORRECT (RIGHT)	hogi	hogi	h o g i				
9712	Otomi	CORRECT (RIGHT)	xi hño	xi_hño	x i + h ɲ o				
9713	Otomi	CORRECT (RIGHT)	makwäni	makwäni	m a kʷ ɐ n i				
11131	ImbaburaQuechua	CORRECT (RIGHT)	ali	ali	a l i				
12347	Wichi	CORRECT (RIGHT)	is’alhuhu	is’alhuhu	i s ʔ a lˠ u h u				
13617	Mapudungun	CORRECT (RIGHT)	nor che	nor_che	n o ɻ + tʃ e				
611	Portuguese	COTTON	algodão	algodão	au ɡ o d ɐ̃ũ				
2302	Spanish	COTTON	algodón	algodón	a l ɣ o ð o n				
3983	Yaqui	COTTON	chiinim	chiinim	tʃ iː n i m				
5400	ZinacantanTzotzil	COTTON	tushnuk’	tushnuk’	t u ʃ n u kʼ				
6766	Qeqchi	COTTON	noq’	noq’	n o qʼ				
8635	Otomi	COTTON	nda̲	nda̲	n d ɔ				
10597	ImbaburaQuechua	COTTON	algudun	algudun	a l g u d u ŋ	Spanish			
11782	Wichi	COTTON	wesetaj	wesetaj	w e s e t a x				
418	Portuguese	COUGH	tossir	tossir	t o s i ʁ				
2113	Spanish	COUGH	toser	toser	t o s ɛ ɾ				
3822	Yaqui	COUGH	tase	tase	t a s e				
5242	ZinacantanTzotzil	COUGH	7obah	7obah	ʔ o ɓ a h				
6563	Qeqchi	COUGH	ojb'ak	ojb'ak	o x ɓ a kʰ				
8415	Otomi	COUGH	hehe	hehe	h e h e				
10466	ImbaburaQuechua	COUGH	ujuna	ujuna	u x u n a				
11647	Wichi	COUGH	takhosi	takhosi	t a kʰ o s i				
12920	Mapudungun	COUGH	trüfonün	trüfonün	ʈʂ ɨ f o n ɨ n				
1185	Portuguese	COUNT	contar	contar	k õ t a ʁ				
2918	Spanish	COUNT	contar	contar	k o n t a ɾ				
4476	Yaqui	COUNT	jina’ikia	jina’ikia	j i n a ʔ i k i a				
5812	ZinacantanTzotzil	COUNT	pas kwenta	pas_kwenta	pʰ a s + kʷ e n t a				
7399	Qeqchi	COUNT	ajlank	ajlank	a x l a n kʰ				
9425	Otomi	COUNT	pede	pede	p e d e				
10978	ImbaburaQuechua	COUNT	yupana (1)	yupana	j u p a n a				
12195	Wichi	COUNT	kunta	kunta	k u n t a	Spanish			
13463	Mapudungun	COUNT	rakin	rakin	ɻ a k i n				
1516	Portuguese	COUNTRY	país	país	p a i ʃ				
3281	Spanish	COUNTRY	país	país	p a i s				
4764	Yaqui	COUNTRY	bwia toosa	bwia_toosa	bʷ i a + t oː s a				
7772	Qeqchi	COUNTRY	nimla tenamit	nimla_tenamit	n i m l a + t e n a m i tʰ				
9928	Otomi	COUNTRY	hai	hai	h a i				
11229	ImbaburaQuechua	COUNTRY	mama llakta	mama_llakta	m a m a + ʒ a k t a				
12450	Wichi	COUNTRY	pais	pais	p a i s	Spanish	Spanish	p a i s	3281
1625	Portuguese	COURT	tribunal	tribunal	t ɾ i b u n au				
3390	Spanish	COURT	tribunal	tribunal	t ɾ i β u n a l				
4834	Yaqui	COURT	tribunaal	tribunaal	t r i b u n aː l	Spanish			
6114	ZinacantanTzotzil	COURT	kavilto	kavilto	k a v i l t o	Spanish			
7864	Qeqchi	COURT	poopol	poopol	p oː p o l				
10083	Otomi	COURT	ndä ts'ut'ubi	ndä_ts'ut'ubi	n d ɐ + tsʼ u t̪ʼ u b i				
10084	Otomi	COURT	tribunäl	tribunäl	t̪ r i b u n ɐ l	Spanish			
11281	ImbaburaQuechua	COURT	tribunal	tribunal	t ɾ i b u n a l	Spanish	Spanish	t ɾ i β u n a l	3390
